entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
6084,RNY1,NA,Y_RNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.782386916,NA,NA,0.014175042,0.086445627,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.317670408,NA,NA,0.320485946,0.450616831,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.255376209,NA,NA,0.42264352,0.620747626,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.572154513,NA,NA,0.083284001,0.314834737,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.206018072,NA,NA,0.533679984,1,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,2.37637123,NA,NA,5.11e-22,3.41e-20,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,1.156502529,NA,NA,2.13e-06,1.95e-05,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.212481574,NA,NA,0.392277092,0.975969601,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.300761019,NA,NA,0.236820789,0.652779913,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,3.355903,NA,NA,2.15e-09,8.57e-09,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,3.459199369,NA,NA,7.44e-10,2.72e-09,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.526777168,NA,NA,0.350117729,0.989975009,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,3.107221699,NA,NA,4.56e-08,3.55e-07,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.149535985,NA,NA,0.00575,0.014409177,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.449532476,NA,NA,0.282019973,0.39393713,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.025236606,NA,NA,0.951813206,1,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.955437684,NA,NA,0.022893316,0.072780093,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,4.371991309,NA,NA,2.14e-18,2.37e-17,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,5.192056467,NA,NA,1.3e-26,1.78e-25,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.491558743,NA,NA,0.342799115,0.825766522,NA,NA,NA
6084,RNY1,NA,Y_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,3.560288222,NA,NA,2.86e-14,1.96e-13,NA,NA,NA
