entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.486951324,NA,NA,0.000213817,0.000717807,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.270171062,NA,NA,0.052060901,0.095116372,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.015459179,NA,NA,0.909642302,1,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.543516045,NA,NA,6.89e-05,0.000458084,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.087013155,NA,NA,0.631080466,0.707839072,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.246641008,NA,NA,0.085182339,0.119607037,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.030152251,NA,NA,0.828947246,0.980360542,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.11288963,NA,NA,0.423221417,0.508267389,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.472442219,NA,NA,0.001215958,0.002579816,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.463464034,NA,NA,0.001814948,0.003503482,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.082239717,NA,NA,0.561910981,1,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.6130213,NA,NA,1.93e-05,9.41e-05,NA,NA,NA
23172,ABRAXAS2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0953393677522289,NA,NA,0.485415356543403,0.99776532938064,409.409196670601,0.136663905743278,0.697619223113109
23172,ABRAXAS2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.0420456955710816,NA,NA,0.818410699016962,0.885217046529697,537.427268412127,0.183134157325039,0.229589587137784
23172,ABRAXAS2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0662403136555023,NA,NA,0.71170989514515,0.867636974967718,537.427268412127,0.17924072395528,-0.369560623243348
23172,ABRAXAS2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.341704920681275,NA,NA,0.00104906874106312,0.00638335334460782,503.559326271224,0.104272888620402,3.27702555479427
23172,ABRAXAS2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.205829575123034,NA,NA,0.261438721961271,0.571962723271825,482.699795979292,0.18328593487507,1.12299710975275
