entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55,ACP3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.303492518,NA,NA,0.369447182,0.497548071,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.348967557,NA,NA,0.000492799,0.001449416,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.441824815,NA,NA,0.170191255,0.848123801,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.169466296,NA,NA,0.604808958,0.787790233,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.655434652,NA,NA,0.192687349,0.263698103,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.316714173,NA,NA,0.42554254,0.491515166,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.403258277,NA,NA,0.237984932,0.72449784,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.072989226,NA,NA,0.857330227,0.894411483,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.430161703,NA,NA,0.43801219,0.519603026,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.388253578,NA,NA,0.495820795,0.569027256,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.274984224,NA,NA,0.608900572,1,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.2124057,NA,NA,0.694592307,0.799166837,NA,NA,NA
55,ACP3,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.722088130927615,NA,NA,0.0628078586243209,0.437899163895172,34.6375488111377,0.388104821466138,-1.86054924079478
55,ACP3,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.60329985421939,NA,NA,0.0110171174106472,0.020885010045072,11.0775031477412,1.02405220375309,2.54215541422444
55,ACP3,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.2647516881937,NA,NA,0.220273874797344,0.385749634849518,11.0775031477412,1.03177638252493,1.22580019238145
55,ACP3,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.00650761506200687,NA,NA,0.995716853100079,0.997899541399695,2.89270598154992,1.21226303209047,-0.00536815434418132
55,ACP3,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.382605206319464,NA,NA,0.0947154408399478,0.280467367969819,206.438726254127,0.228963480737037,-1.67103157712248
