entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51816,ADA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.553859015,NA,NA,0.04508129,0.088185581,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.754002174,NA,NA,0.00642842,0.015018514,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.609288462,NA,NA,0.027160664,0.375877213,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.231635366,NA,NA,0.402666932,0.618303873,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.810206153,NA,NA,0.000233256,0.000615307,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.5635001,NA,NA,0.006296387,0.01106905,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.460224592,NA,NA,0.020751392,0.175313862,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.788949911,NA,NA,9.82e-05,0.000251898,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.151872525,NA,NA,0.824843375,0.866551462,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.688404535,NA,NA,0.315848537,0.386964593,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.05913869,NA,NA,0.931312058,1,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.084770677,NA,NA,0.901673778,0.940851329,NA,NA,NA
51816,ADA2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.169436551062447,NA,NA,0.477160527265138,0.99776532938064,908.066546449084,0.238348655269551,-0.710876891127536
51816,ADA2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,3.1757137248474,NA,NA,1.05452940467375e-14,6.32435221597823e-14,85.1247199957244,0.410696772495443,7.73250226816095
51816,ADA2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.528998174258381,NA,NA,0.218404427117011,0.383241724271146,85.1247199957244,0.429806573809158,1.23078195284483
51816,ADA2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.60911857235396,NA,NA,0.30178201560201,0.6566390857582,1.92972935782377,1.55828805070714,1.03261946443326
51816,ADA2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.45259330969471,NA,NA,0.00112567570689527,0.00856184680017847,871.640529415305,0.445981226834627,-3.25707276964225
