entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.899179788,NA,NA,0.02478688,0.1229477,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.005949285,NA,NA,0.988219995,0.992710468,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.30302105,NA,NA,0.452886741,0.646579385,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.097020111,NA,NA,0.808830018,0.917090523,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.257021131,NA,NA,0.525426622,1,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.038511737,NA,NA,0.92936269,0.960202584,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.707025968,NA,NA,0.112821614,0.208584243,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.365126846,NA,NA,0.419496585,0.984813099,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.126055935,NA,NA,0.781080234,0.944966638,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.778993659,NA,NA,0.287282746,0.353520685,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.334806896,NA,NA,0.067691831,0.094703593,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,1.295072877,NA,NA,0.072539189,0.626841754,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.710733656,NA,NA,0.324773322,0.439026474,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.035410411,NA,NA,0.940827599,0.969622014,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.304115188,NA,NA,0.513252809,0.626463157,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.234116871,NA,NA,0.628610244,1,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0,NA,NA,1,1,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.754580395,NA,NA,0.275177083,0.35750788,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.675807204,NA,NA,0.004348971,0.007890816,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.458752643,NA,NA,0.371691074,0.843320264,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.511230185,NA,NA,0.409660606,0.49490446,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.190659355,NA,NA,0.106687599,0.153976857,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.248360797,NA,NA,0.742817413,0.791419174,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.420382414,NA,NA,0.550701455,1,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.100896398,NA,NA,0.887959698,0.932399424,NA,NA,NA
25960,ADGRA2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.304056867155624,NA,NA,0.193385225441147,0.770530019553079,2142.03191690826,0.233776654508525,-1.30062973052143
25960,ADGRA2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.02269262426278,NA,NA,1.12566761985892e-05,3.25490749076566e-05,315.891074442979,0.232879555360945,4.3915088324421
25960,ADGRA2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.00987103358928637,NA,NA,0.966153227028859,1,315.891074442979,0.232624315050644,0.0424333698183588
25960,ADGRA2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.639322610916407,NA,NA,7.25808818905769e-05,0.000563229174713111,194.88417670638,0.16113329630193,-3.96766295724783
25960,ADGRA2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.557980208085997,NA,NA,0.654189344611819,0.914831983796644,4.269007808269,1.24563079803912,0.447949913380732
