entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
54936,ADPRS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.092713098,NA,NA,2.65e-21,4.13e-20,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.617088512,NA,NA,2.01e-41,6.64e-40,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.584777332,NA,NA,1.13e-06,0.000144625,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.961497133,NA,NA,3.52e-16,7.83e-15,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.389421885,NA,NA,0.015885005,0.029105854,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.896873696,NA,NA,6.94e-11,3.16e-10,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.171446156,NA,NA,1.68e-17,1.29e-15,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.557841696,NA,NA,5.9e-05,0.000156493,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.863121733,NA,NA,0.00022757,0.00054224,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.794577849,NA,NA,0.00070214,0.001440008,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.635816403,NA,NA,0.005406758,0.233139994,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.773122171,NA,NA,0.000850621,0.002925812,NA,NA,NA
54936,ADPRS,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.7567903569748,NA,NA,2.54904063966878e-07,1.84147022594522e-05,1196.6209059779,0.146833780183416,5.15406166094385
54936,ADPRS,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.322141037405943,NA,NA,0.170257502648154,0.247003290265685,294.757754419806,0.234903361313397,-1.37137687432304
54936,ADPRS,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.678347451442171,NA,NA,0.00223978564607298,0.00812247231866033,294.757754419806,0.221940015431463,3.05644500440098
54936,ADPRS,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.05403366788852,NA,NA,8.27065080319191e-28,3.61622838833173e-26,595.597101554233,0.0964335467015171,10.9301555728421
54936,ADPRS,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,1.5883794337581,NA,NA,7.99748783435216e-10,5.2734146084996e-08,675.71436491773,0.258484176391082,6.14497744478915
