entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
122622,ADSS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.139795228,NA,NA,0.797529113,0.867362228,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.567480847,NA,NA,0.307983997,0.422007455,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.013526254,NA,NA,0.979645227,1,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.022333113,NA,NA,0.96745833,1,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.040440474,NA,NA,0.001250062,0.002879751,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.70724057,NA,NA,2.72e-12,1.4e-11,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.143317344,NA,NA,0.800986429,0.975763255,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.986061902,NA,NA,0.106532117,0.1552328,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.728212415,NA,NA,0.002828873,0.005652254,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.210175136,NA,NA,7.24e-05,0.00016788,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.109619079,NA,NA,0.846493052,1,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.819494093,NA,NA,0.15084315,0.25656299,NA,NA,NA
122622,ADSS1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.241200924107204,NA,NA,0.39200607985144,0.995137322133241,917.641174690425,0.281781720273758,-0.855984993891269
122622,ADSS1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.298910657877313,NA,NA,0.230810972511878,0.321743279845372,229.425486597615,0.249451333539599,1.19827243910028
122622,ADSS1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.7873029950234,NA,NA,0.00161006007306844,0.00608516656589243,229.425486597615,0.249614301592271,-3.15407807165395
122622,ADSS1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.744853741100248,NA,NA,0.000394608420055968,0.00264866500195413,146.991521975803,0.210193130133738,-3.54366358513395
122622,ADSS1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.26228599157247,NA,NA,6.38889127696889e-11,5.65953371598849e-09,267.070737997827,0.193177153790109,-6.53434408161934
