entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.050456572,NA,NA,0.001562018,0.004455586,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.361156234,NA,NA,0.000163211,0.000523262,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.318782158,NA,NA,0.371112531,1,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.227678513,NA,NA,0.540216733,0.741536357,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.678547849,NA,NA,5.58e-10,3.02e-09,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.620042815,NA,NA,1.08e-12,5.74e-12,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.027605791,NA,NA,0.016296215,0.148153521,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.427011537,NA,NA,0.000492763,0.001135342,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,2.087945342,NA,NA,1.95e-20,2.22e-19,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.276805767,NA,NA,1.03e-24,1.24e-23,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.292784605,NA,NA,0.216033901,1,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.181347717,NA,NA,1.28e-06,7.72e-06,NA,NA,NA
100506746,AFF1-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.194058097240633,NA,NA,0.153404021817236,0.695318649114821,51.1993908752917,0.13593211010982,1.42761042320209
100506746,AFF1-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.741900201958657,NA,NA,0.0221330428632865,0.0395749763444684,114.510384308165,0.324246182454245,2.28807690608153
100506746,AFF1-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.264641294613056,NA,NA,0.413532998060192,0.614061082549649,114.510384308165,0.323644169652233,-0.817692142878464
100506746,AFF1-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.620049248458711,NA,NA,0.0372508467142604,0.140100129781931,48.6655221360751,0.29767067585075,2.08300413430579
100506746,AFF1-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.01799496865109,NA,NA,0.000627399340303664,0.00540328506446603,70.8673874973438,0.297704231103539,-3.41948438178911
