entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
10189,ALYREF,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.40563889,NA,NA,0.006923067,0.053007093,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.432659962,NA,NA,0.004106756,0.016423663,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.172641513,NA,NA,0.254136085,0.4522235,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.279726039,NA,NA,0.065036185,0.285394518,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.08558335,NA,NA,0.572257973,1,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.301655498,NA,NA,0.082154099,0.180461123,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.292131454,NA,NA,0.094543083,0.181640811,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.10030963,NA,NA,0.560193085,0.997701369,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.066812153,NA,NA,0.698122687,0.919968313,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.057102757,NA,NA,0.656441339,0.715431694,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.402989065,NA,NA,0.003284947,0.005776228,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.098385895,NA,NA,0.42344404,1,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.308630348,NA,NA,0.014643535,0.032991727,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.242861198,NA,NA,0.039314451,0.078419972,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.086586479,NA,NA,0.467582494,0.58334156,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.095849608,NA,NA,0.408403491,1,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.412933911,NA,NA,0.00069318,0.003632881,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.428931712,NA,NA,0.030061282,0.051693886,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.385604465,NA,NA,0.010217495,0.017247399,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.256080535,NA,NA,0.065372331,0.378811064,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.363717553,NA,NA,0.014833797,0.026402551,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.475604085,NA,NA,0.030463687,0.050012543,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.642038728,NA,NA,0.003943509,0.007217922,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.089456666,NA,NA,0.67763534,1,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.341166022,NA,NA,0.115351542,0.206865743,NA,NA,NA
10189,ALYREF,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0334015415064919,NA,NA,0.875688267094736,0.99776532938064,805.575522617288,0.213513799550347,-0.156437389886904
10189,ALYREF,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.233948988771155,NA,NA,0.157210250947515,0.230497264483938,1000.31189016552,0.165391465993989,-1.41451668842247
10189,ALYREF,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.475053551595091,NA,NA,0.00361087257509423,0.0122917871596063,1000.31189016552,0.163232071246137,-2.91029543378617
10189,ALYREF,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0657389773583516,NA,NA,0.449687780057864,0.810366849487759,1351.43381662442,0.0869637218588069,0.755935647109084
10189,ALYREF,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.522384513032679,NA,NA,0.018458412932794,0.0803164657182056,1476.99871333099,0.221697719592148,2.35629177419459
