entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.045587369,NA,NA,0.828491182,0.9173726,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.349798338,NA,NA,0.098764203,0.186439303,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.382290043,NA,NA,0.070833433,0.194430159,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.344567496,NA,NA,0.119887956,0.3718163,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.122292164,NA,NA,0.577367784,1,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.217231355,NA,NA,0.349052405,0.514745635,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.533309007,NA,NA,0.018586769,0.049152717,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.388615333,NA,NA,0.085776088,0.743702107,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.117060066,NA,NA,0.609327537,0.888056356,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.861773457,NA,NA,0.001335066,0.002651428,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.359172001,NA,NA,0.2226348,0.275745915,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.545567445,NA,NA,0.01547601,0.291965603,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.39385965,NA,NA,0.132036124,0.212908594,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.548722377,NA,NA,0.18111957,0.283574023,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.006689425,NA,NA,0.024011385,0.04847956,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.16111772,NA,NA,0.688370683,1,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.520187056,NA,NA,0.220421739,0.419188104,NA,NA,NA
57221,ARFGEF3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.608585131,NA,NA,0.093546688,0.141784999,NA,NA,NA
