entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.399708612,NA,NA,0.141969207,0.347798671,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.418617726,NA,NA,0.125949431,0.222991252,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.051667203,NA,NA,0.851136371,0.925729133,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.427229877,NA,NA,0.12954646,0.38448374,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.001349081,NA,NA,0.99606513,1,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.991235516,NA,NA,0.000204787,0.001415632,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.536526117,NA,NA,0.055676343,0.119800721,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.030472849,NA,NA,0.901221374,1,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.117846135,NA,NA,0.631203751,0.895008955,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.146385964,NA,NA,0.525464568,0.59584273,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.583192672,NA,NA,0.024774029,0.037701518,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.752957579,NA,NA,0.003781604,0.133706094,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.378292488,NA,NA,0.098996362,0.168383177,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.178387579,NA,NA,0.331208799,0.457496833,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.300751383,NA,NA,0.124635057,0.200650951,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.092822471,NA,NA,0.629185143,1,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.22160453,NA,NA,0.256621836,0.464442365,NA,NA,NA
120534,ARL14EP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.840929954,NA,NA,0.011460311,0.021653957,NA,NA,NA
