entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
79624,ARMT1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.339990305,NA,NA,0.149644131,0.358806869,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.800388245,NA,NA,0.00072289,0.004144482,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.430365626,NA,NA,0.071593404,0.195929754,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.425695388,NA,NA,0.075879423,0.302480124,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.066724126,NA,NA,0.779035457,1,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.764940387,NA,NA,0.00165063,0.008075189,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.787243868,NA,NA,0.001458988,0.005927691,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.377316907,NA,NA,0.104251962,0.789891737,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.430075616,NA,NA,0.064641526,0.353496397,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.140374992,NA,NA,0.556560634,0.625212989,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.176062261,NA,NA,0.501952525,0.560785862,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.644031734,NA,NA,0.010407664,0.23894326,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.139578636,NA,NA,0.557376006,0.663552112,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.055149955,NA,NA,0.702116371,0.793250777,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.261601413,NA,NA,0.07745231,0.134103691,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.006591395,NA,NA,0.964083706,1,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.39679411,NA,NA,0.008155022,0.03104072,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.206088769,NA,NA,0.304950744,0.389534517,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.253572309,NA,NA,0.114203721,0.155190391,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.023485979,NA,NA,0.876068083,0.990761621,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.516384575,NA,NA,0.001081412,0.002362955,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.430756392,NA,NA,0.027806888,0.046037637,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.597318251,NA,NA,0.002770375,0.005193233,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.138878698,NA,NA,0.468804744,1,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.117006433,NA,NA,0.545812028,0.679875759,NA,NA,NA
79624,ARMT1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.115904297069634,NA,NA,0.214366627448307,0.802363166270889,439.48449325295,0.0933471793300209,-1.24164755594665
79624,ARMT1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.69714399818467,NA,NA,1.49953663619612e-08,5.80014612146563e-08,180.112463920261,0.299763151226234,-5.66161648368788
79624,ARMT1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.09163362236805,NA,NA,9.31905236781389e-05,0.000499179219723378,180.112463920261,0.279356665676041,-3.90766985898227
79624,ARMT1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.412026468086173,NA,NA,8.97074268482486e-05,0.000685822484395054,440.093075195848,0.105192882536702,-3.91686640911675
79624,ARMT1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.304488510077266,NA,NA,0.117548168142074,0.328700163473152,535.558626357261,0.194542927925528,1.56514818258429
