entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
9311,ASIC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.724577184,NA,NA,0.204205152,0.312532381,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.284072088,NA,NA,0.618142441,0.721142751,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.721636175,NA,NA,0.205353627,0.897995482,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.182501489,NA,NA,0.74927312,0.882533802,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.282383679,NA,NA,0.650574183,0.724963089,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.369989937,NA,NA,4.41e-06,1.22e-05,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.254012057,NA,NA,0.640034915,0.951034585,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.560949402,NA,NA,0.306869059,0.389247137,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.88480802,NA,NA,0.115656446,0.165267848,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.770650592,NA,NA,0.001395649,0.002748391,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,1.552878989,NA,NA,0.008942127,0.318798189,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.865449748,NA,NA,0.124153444,0.219436308,NA,NA,NA
9311,ASIC3,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0986629811858483,NA,NA,0.660731755443057,0.99776532938064,104.152232576846,0.22479445405204,-0.43890309305855
9311,ASIC3,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.25938784182716,NA,NA,1.54664212847102e-06,4.91346555126182e-06,276.534801204525,0.262093289114541,-4.80511288969622
9311,ASIC3,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.617130736587485,NA,NA,0.0131844062314567,0.0374067041864965,276.534801204525,0.248968631009439,-2.47874896562406
9311,ASIC3,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.487662804508279,NA,NA,0.00568191832415058,0.028256908671025,163.956675706741,0.176332014228387,-2.76559424924763
9311,ASIC3,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.06483934188796,NA,NA,0.27047343202895,0.58451333641174,3.66484504344674,0.96630261450143,-1.10197294916497
