entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.231657419,NA,NA,0.047394926,0.092079348,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.148824987,NA,NA,0.207504016,0.306692211,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.212928209,NA,NA,0.06828362,0.607994176,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.232751599,NA,NA,0.047451566,0.131148016,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.13087518,NA,NA,0.267363381,0.348667076,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.65552301,NA,NA,1.36e-10,6.08e-10,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.070775129,NA,NA,0.462979721,0.890675486,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.291369324,NA,NA,0.003018863,0.006130253,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.144100506,NA,NA,0.463355774,0.544603554,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.87059573,NA,NA,1.03e-05,2.65e-05,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.039564837,NA,NA,0.839784211,1,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.245054837,NA,NA,0.211043189,0.334690128,NA,NA,NA
509,ATP5F1C,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0771714032281151,NA,NA,0.311704832939462,0.930200211621164,1234.5093772675,0.0762826155167795,-1.01165124852254
509,ATP5F1C,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.68266927732997,NA,NA,1.80062157882628e-52,6.43434881199733e-51,1510.06716340817,0.175980251769316,-15.2441495585911
509,ATP5F1C,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.907191366539514,NA,NA,4.8346100688722e-08,5.75017594146062e-07,1510.06716340817,0.166234824907203,-5.45728830914902
509,ATP5F1C,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.00136013538780545,NA,NA,0.982362251704292,0.992762699507605,2141.01955226894,0.0615238757076845,-0.0221074399517319
509,ATP5F1C,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.695040320991936,NA,NA,0.000987127886729832,0.00773305759463522,2610.93981028452,0.210991031903061,3.29416996885095
