entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.044351397,NA,NA,0.712162193,0.801540553,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.368111636,NA,NA,0.002339808,0.006023302,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.17934866,NA,NA,0.13489333,0.787210262,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.014077541,NA,NA,0.907170347,0.967929312,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.006642404,NA,NA,0.949050099,0.96239632,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.81753774,NA,NA,1.41e-17,1.08e-16,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.052421761,NA,NA,0.559680136,0.923892193,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.348165037,NA,NA,0.00013123,0.000330095,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.046000226,NA,NA,0.87040397,0.902197414,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.888436889,NA,NA,0.001650165,0.00320705,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.096649463,NA,NA,0.731475866,1,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.216480466,NA,NA,0.44224104,0.585344675,NA,NA,NA
518,ATP5MC3,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.149850114871437,NA,NA,0.0877273222827843,0.528006315156637,1076.77080256564,0.08775944214883,-1.70750988386308
518,ATP5MC3,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.06618710157307,NA,NA,2.30141059649425e-11,1.11496704715733e-10,1082.80377970958,0.159477594888628,-6.68549774855613
518,ATP5MC3,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.759836426900816,NA,NA,9.89814708323179e-07,8.64516820435335e-06,1082.80377970958,0.155269791388408,-4.89365265520375
518,ATP5MC3,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.379009397595383,NA,NA,8.08668961005952e-08,9.80061484619487e-07,1738.00796645697,0.0706423903134887,-5.36518365125328
518,ATP5MC3,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.990963185484505,NA,NA,0.000994319280307346,0.00776534613916144,3724.34915436105,0.301009811974968,3.29212918005116
