entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.374267406,NA,NA,0.018370877,0.040502783,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.32737346,NA,NA,0.046782157,0.086749079,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.217952679,NA,NA,0.175995048,0.85799526,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.27398192,NA,NA,0.095984156,0.226306141,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.11511035,NA,NA,1.2e-08,5.68e-08,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.103138227,NA,NA,3.15e-10,1.36e-09,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.094207035,NA,NA,0.609266171,0.941167944,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.201172928,NA,NA,8.09e-12,4.52e-11,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.186179476,NA,NA,3.16e-08,1.23e-07,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.815805185,NA,NA,0.000144327,0.000322661,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.070807441,NA,NA,0.74006513,1,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.904446347,NA,NA,2.29e-05,0.000110237,NA,NA,NA
9551,ATP5MF,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0637155567919916,NA,NA,0.618665927929055,0.99776532938064,391.459465266315,0.128009212982007,-0.497741961751984
9551,ATP5MF,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.549658896027167,NA,NA,0.00156754864293517,0.00341502273805161,809.044420257373,0.173839338569155,-3.1618786665396
9551,ATP5MF,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.635281433352445,NA,NA,0.000196026052881666,0.000955200452073764,809.044420257373,0.170587323162218,-3.72408348742498
9551,ATP5MF,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.137295478167602,NA,NA,0.101048518106742,0.307429041957091,1489.1229981021,0.0837273976203039,-1.63979153860991
9551,ATP5MF,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.439611973653987,NA,NA,0.101483785500851,0.295416656067232,1336.35145612483,0.268432145070029,1.63770242024963
