entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,2.016916701,NA,NA,2.07e-06,9.61e-06,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,3.121498972,NA,NA,2.1e-12,1.67e-11,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.201785043,NA,NA,0.665663727,1,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.090787377,NA,NA,0.850038745,0.940893782,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,5.777934035,NA,NA,2.74e-30,6.31e-29,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,7.31085496,NA,NA,6.49e-77,5.36e-75,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-1.230424487,NA,NA,0.032642011,0.243928827,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.518952764,NA,NA,0.005358462,0.010420582,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,2.271583897,NA,NA,0.001529518,0.003191561,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,3.074217786,NA,NA,1.63e-05,4.12e-05,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.093445434,NA,NA,0.898256402,1,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.057676232,NA,NA,0.141733825,0.244026886,NA,NA,NA
267020,ATP5MGL,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.652490548156043,NA,NA,0.211315553387986,0.797884329113462,3.16074120879567,0.522010736132743,-1.24995618479027
267020,ATP5MGL,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.57780299093258,NA,NA,4.63902879723349e-05,0.000124518860464066,31.1169326764851,0.632883838316565,4.0731060502183
267020,ATP5MGL,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.88338975391217,NA,NA,0.208500562549582,0.369791027203262,31.1169326764851,0.70238555893408,-1.25769919764976
267020,ATP5MGL,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.613586300790134,NA,NA,0.792736805170526,0.924806207850071,0.980050710320254,2.33517296936421,0.262758394705636
267020,ATP5MGL,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.638382477667624,NA,NA,0.773899234632843,0.976046779807528,0.607542604829682,2.22217435643616,-0.287278302811233
