entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.879252596,NA,NA,6.18e-21,9.46e-20,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.384184717,NA,NA,4.43e-12,3.41e-11,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.125407819,NA,NA,0.469304336,1,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.815556166,NA,NA,2.67e-05,0.000191576,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.065923516,NA,NA,0.000456796,0.001145477,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.286309311,NA,NA,2.62e-09,1.03e-08,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.067770322,NA,NA,0.692721019,0.957687119,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.634010755,NA,NA,0.005350158,0.010407055,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.135204513,NA,NA,0.578183006,0.654739661,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.584819169,NA,NA,0.017949044,0.029360962,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.010292387,NA,NA,0.965724683,1,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.025191671,NA,NA,2.19e-05,0.000105367,NA,NA,NA
440465,BAIAP2-DT,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.780926669185998,NA,NA,0.000229839021392052,0.00756883673894515,357.176704307368,0.211993034147991,-3.68373740356411
440465,BAIAP2-DT,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.86911188608581,NA,NA,1.54239658301468e-13,8.58951664384576e-13,268.702820371946,0.253148852818769,-7.38344995552448
440465,BAIAP2-DT,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.19640756005407,NA,NA,3.63885963937393e-07,3.53689786216264e-06,268.702820371946,0.235191971261234,-5.0869404837174
440465,BAIAP2-DT,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.466214233015623,NA,NA,1.14253449463809e-06,1.18131482920662e-05,644.520689879074,0.0958233363184384,-4.86535170792122
440465,BAIAP2-DT,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.71008318857785,NA,NA,5.25234252825607e-09,2.73180716245334e-07,867.265682956028,0.292873942891396,-5.83897349042071
