entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.654012677,NA,NA,0.023853698,0.050856824,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.690375679,NA,NA,0.027476578,0.054587794,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.136771636,NA,NA,0.648645896,1,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.596682584,NA,NA,0.055487444,0.148348902,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.905698305,NA,NA,0.002058909,0.004539835,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.585528652,NA,NA,6.99e-11,3.18e-10,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.065063801,NA,NA,0.78067374,0.973858129,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.788666,NA,NA,0.001243685,0.002688527,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.487024782,NA,NA,1.13e-07,4.14e-07,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.0630885,NA,NA,8.37e-14,4.71e-13,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.192057524,NA,NA,0.494356561,1,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.032960145,NA,NA,0.908041394,0.944634746,NA,NA,NA
256643,BCLAF3,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.131465682532014,NA,NA,0.353941748698671,0.966577743889809,246.719281503302,0.141822910842663,-0.926970697124254
256643,BCLAF3,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.286253704115782,NA,NA,0.102069962059659,0.157428485141988,615.470641899081,0.175089401187616,-1.6349002405294
256643,BCLAF3,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.450552005349568,NA,NA,0.0085850959112017,0.0259079995956586,615.470641899081,0.171433219243424,-2.62814877617046
256643,BCLAF3,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.382838727457575,NA,NA,0.00160122879987899,0.00930078141832592,324.909647086308,0.121317239017247,-3.15568282429465
256643,BCLAF3,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.389060446324082,NA,NA,0.064095984124924,0.20938422801833,177.366598823523,0.210131247033371,-1.85151162341075
