entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.047046495,NA,NA,0.000327483,0.00106456,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.758973915,NA,NA,0.012799964,0.027723948,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.054787828,NA,NA,0.838211708,1,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.2580697,NA,NA,0.390077615,0.607002594,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.743152364,NA,NA,0.076061472,0.118172398,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.091330033,NA,NA,0.793167882,0.830431493,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.214953141,NA,NA,0.500061645,0.907675873,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.444454733,NA,NA,0.228784867,0.3035716,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.208961316,NA,NA,0.481392781,0.562420371,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.024214677,NA,NA,0.937612044,0.951105081,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.14792504,NA,NA,0.593660815,1,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.531305846,NA,NA,0.062360054,0.124193254,NA,NA,NA
266655,BRD3OS,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.407583311891218,NA,NA,0.00543741065900039,0.0892670081145326,256.501327296319,0.146617493082151,-2.77990915901724
266655,BRD3OS,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.70368267473821,NA,NA,1.29444201834119e-11,6.37619074609515e-11,279.328655246537,0.251679368970819,-6.76925836911067
266655,BRD3OS,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.07332378386775,NA,NA,5.31507295821532e-06,3.88045572902994e-05,279.328655246537,0.235794233362893,-4.55195094706102
266655,BRD3OS,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.44023165908169,NA,NA,0.000128895019297984,0.000957794150975377,355.928931727304,0.114986213422944,-3.82856036368833
266655,BRD3OS,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-2.00751256645833,NA,NA,4.6558329081705e-09,2.48873716543021e-07,1275.28957448997,0.342635750395479,-5.85902832422247
