entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
151254,C2CD6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.41995003,NA,NA,0.006715737,0.01656491,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.353242077,NA,NA,0.007025478,0.016275039,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.316922183,NA,NA,0.53335833,1,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.444694312,NA,NA,0.364613629,0.584541882,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.023223707,NA,NA,0.006310494,0.012605474,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.329731493,NA,NA,3.98e-06,1.11e-05,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.014196105,NA,NA,0.984801662,1,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,3.162714722,NA,NA,5.54e-06,1.68e-05,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,4.192877382,NA,NA,3.3e-08,1.28e-07,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,5.136310391,NA,NA,6.85e-12,3.28e-11,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.22317458,NA,NA,0.779393464,1,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.716380851,NA,NA,0.027659919,0.062016873,NA,NA,NA
151254,C2CD6,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.169334845411462,NA,NA,0.598413900764491,0.99776532938064,8.08851176079358,0.321512026146218,-0.52668277277582
151254,C2CD6,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.46910349638792,NA,NA,2.36465981272131e-07,8.1439602473136e-07,66.9349378096898,0.477757013334837,5.16811564764501
151254,C2CD6,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,2.87790659434231,NA,NA,5.56395210320996e-10,9.9809426513657e-09,66.9349378096898,0.464005430291709,6.20231231460597
151254,C2CD6,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,2.65009233700742,NA,NA,0.037730316808968,0.141487485971797,3.89913841400478,1.27544874273738,2.07777251112402
151254,C2CD6,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-3.03209807889888,NA,NA,0.0100392130251154,0.0496800892116059,4.80733332837335,1.17775360872276,-2.57447572772636
