entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
6650,CAPN15,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.230371041,NA,NA,0.339247799,0.571428949,NA,NA,NA
6650,CAPN15,NA,other,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.230371041,NA,NA,0.339247799,0.571428949,NA,NA,NA
6650,CAPN15,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.985814722,NA,NA,4.93e-05,0.000476894,NA,NA,NA
6650,CAPN15,NA,other,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.985814722,NA,NA,4.93e-05,0.000476894,NA,NA,NA
6650,CAPN15,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.017922682,NA,NA,0.941148087,0.971701548,NA,NA,NA
6650,CAPN15,NA,other,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.017922682,NA,NA,0.941148087,0.971701548,NA,NA,NA
6650,CAPN15,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.342052804,NA,NA,0.15823193,0.419643247,NA,NA,NA
6650,CAPN15,NA,other,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.342052804,NA,NA,0.15823193,0.419643247,NA,NA,NA
6650,CAPN15,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.014437745,NA,NA,0.952344498,1,NA,NA,NA
6650,CAPN15,NA,other,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.014437745,NA,NA,0.952344498,1,NA,NA,NA
6650,CAPN15,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.647639834,NA,NA,7.48e-05,0.000605723,NA,NA,NA
6650,CAPN15,NA,other,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.647639834,NA,NA,7.48e-05,0.000605723,NA,NA,NA
