entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
84529,CDIN1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.833014973,NA,NA,0.054613358,0.104002595,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.733027406,NA,NA,0.100036949,0.166753532,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.063329178,NA,NA,0.877859933,1,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.292369662,NA,NA,0.489357545,0.699101676,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.594971964,NA,NA,0.34307135,0.430113898,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.73482089,NA,NA,0.154726015,0.203415559,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.338511414,NA,NA,0.450073964,0.882171184,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.004856526,NA,NA,0.043844843,0.070606388,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.186824419,NA,NA,0.731575034,0.790572194,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.044603875,NA,NA,0.935545276,0.949695037,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.178187953,NA,NA,0.732033514,1,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.406098786,NA,NA,0.443302777,0.586247321,NA,NA,NA
84529,CDIN1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0420836776745262,NA,NA,0.838968666560518,0.99776532938064,42.1579322459403,0.207091612992899,-0.203212853800937
84529,CDIN1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-3.25590925283299,NA,NA,3.33366173215209e-23,3.18419993126982e-22,191.306352615213,0.328144274760696,-9.92218820580493
84529,CDIN1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.11414757509045,NA,NA,2.60806196558802e-05,0.000161334809252489,191.306352615213,0.264942736176236,-4.20523918175788
84529,CDIN1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.593850518512289,NA,NA,9.67188625076605e-05,0.000734843596217511,205.556674156408,0.152320954879307,-3.89867906869959
84529,CDIN1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.107757395192458,NA,NA,0.702760440933285,0.945728838844431,158.379912774534,0.282385461910919,-0.38159682323324
