entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55783,CMTR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.415672011,NA,NA,0.030083036,0.138378383,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.253201788,NA,NA,0.188424522,0.302672772,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.177741032,NA,NA,0.359744352,0.560945603,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.57886322,NA,NA,0.003531241,0.086148061,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.280830883,NA,NA,0.142557638,1,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.562848159,NA,NA,0.014441522,0.047120309,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.348937387,NA,NA,0.149719882,0.260462334,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.198810842,NA,NA,0.360757868,0.969576009,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.210157462,NA,NA,0.338666836,0.735714921,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-1.10496935,NA,NA,1.03e-08,3.82e-08,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.966906889,NA,NA,2.58e-05,6e-05,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.157599453,NA,NA,0.374133851,0.994961153,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-1.138453552,NA,NA,4.12e-10,4.63e-09,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.010205077,NA,NA,0.944173444,0.971443814,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.036692432,NA,NA,0.810566692,0.869133976,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.142811967,NA,NA,0.343897562,0.998488645,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.25803498,NA,NA,0.08073098,0.198078943,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.710002067,NA,NA,0.001640353,0.003693425,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.779165648,NA,NA,1.72e-06,4.96e-06,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.023539636,NA,NA,0.875947014,0.990761621,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.737801939,NA,NA,8.56e-06,2.54e-05,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.901059551,NA,NA,4.02e-11,2.12e-10,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.557240251,NA,NA,4.23e-05,0.000101401,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.252614185,NA,NA,0.046278285,0.805409119,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.929979097,NA,NA,1.67e-43,2.69e-41,NA,NA,NA
55783,CMTR2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0298710651106076,NA,NA,0.890151727020431,0.99776532938064,37.2557095956535,0.216281113982617,0.138112221453642
55783,CMTR2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.51679596853668,NA,NA,0.00142987241701062,0.00313644413282891,55.5036338026694,0.475700544406547,-3.18855209726308
55783,CMTR2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.467867921463691,NA,NA,0.272796892478536,0.453777012115195,55.5036338026694,0.42663596611356,-1.0966443493401
55783,CMTR2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0121075139098268,NA,NA,0.965972448229058,0.992762699507605,71.5540381564585,0.283813221187163,0.0426601476111024
55783,CMTR2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.295422939307816,NA,NA,0.168136515495965,0.423323080002779,87.6363239012471,0.21435165065459,1.37821630207021
