entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.217313455,NA,NA,0.579122992,0.693550485,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.472550545,NA,NA,0.237509933,0.342424617,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.282857523,NA,NA,0.485996285,1,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.385971762,NA,NA,0.367775669,0.586558168,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.06308745,NA,NA,0.925502858,0.94464709,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.610222001,NA,NA,0.287786901,0.351274326,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.270009556,NA,NA,0.662598833,0.953037261,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.533355665,NA,NA,0.415334857,0.500822074,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.311471405,NA,NA,0.661785072,0.730181986,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.150222171,NA,NA,0.831799522,0.865437031,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.188928954,NA,NA,0.788006957,1,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.161189641,NA,NA,0.822108046,0.887722573,NA,NA,NA
79363,CPLANE2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.424463516800296,NA,NA,0.0233241066227893,0.243055328163648,39.2677541212014,0.187146320821792,-2.26808368412696
79363,CPLANE2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.310944266440711,NA,NA,0.39386902909921,0.505591313172541,82.4739893868888,0.36469187155963,0.852621872571321
79363,CPLANE2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.812602824797574,NA,NA,0.0262109189219524,0.0672037224035403,82.4739893868888,0.365531427448626,-2.2230723920771
79363,CPLANE2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.180375277452607,NA,NA,0.423151641528836,0.788129641346132,93.3935397777828,0.225197322825022,-0.800965460822813
79363,CPLANE2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.46741001660117,NA,NA,3.56254329922541e-10,2.60871920642753e-08,326.133736011116,0.233959037647947,-6.27208092217098
