entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.428765707,NA,NA,0.176870624,0.277854433,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.140928385,NA,NA,0.675043913,0.766773751,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.04629263,NA,NA,0.885067492,1,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.397320134,NA,NA,0.24508258,0.449746699,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.539667874,NA,NA,0.262914129,0.343716583,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.565157537,NA,NA,0.11404257,0.154998692,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.197959193,NA,NA,0.527719528,0.918062909,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.715693568,NA,NA,0.055006657,0.086514291,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.492750746,NA,NA,0.394060212,0.475874794,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.715724874,NA,NA,0.218243836,0.279936027,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.136008092,NA,NA,0.812356725,1,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.08064313,NA,NA,0.888521271,0.932687602,NA,NA,NA
253039,CUTALP,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0989760595735293,NA,NA,0.73911923704743,0.99776532938064,219.774396802049,0.297207613939054,-0.333019932638151
253039,CUTALP,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.16300528397127,NA,NA,0.339550991389332,0.445289787263932,667.62126479028,0.170676723065057,-0.955052810037476
253039,CUTALP,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.429781811737595,NA,NA,0.0103745387203528,0.030514952330705,667.62126479028,0.167681175389199,-2.56308921225083
253039,CUTALP,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.251629364066029,NA,NA,0.0131731998726566,0.0582558730767649,532.059860076013,0.10150224212829,-2.47905227303245
253039,CUTALP,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.284710366057385,NA,NA,0.298121735744567,0.62018057856073,226.384668792743,0.273636384600817,-1.04046969657461
