entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
79415,CYBC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.944182768,NA,NA,3e-20,4.41e-19,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.26521724,NA,NA,1.13e-33,2.77e-32,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.186778735,NA,NA,0.078045092,0.644678431,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.573150149,NA,NA,1.71e-07,1.72e-06,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.128727055,NA,NA,0.381932802,0.470467336,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.080188627,NA,NA,0.492732809,0.557688714,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.219130192,NA,NA,0.062135422,0.365522984,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.608650315,NA,NA,2.31e-06,7.32e-06,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.028979852,NA,NA,1.11e-24,1.75e-23,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.965299231,NA,NA,1.52e-22,1.6e-21,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.212798037,NA,NA,0.256439942,1,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.003038066,NA,NA,0.98721879,0.992995411,NA,NA,NA
79415,CYBC1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.182294687972509,NA,NA,0.0211372456080288,0.22712098018177,1577.45940274664,0.0790686585589024,2.30552397492248
79415,CYBC1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.09865331225578,NA,NA,3.90915794193099e-24,3.91576387483485e-23,989.884833060156,0.207093229478897,-10.1338576714293
79415,CYBC1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.569304464980491,NA,NA,0.00402063036420761,0.0135041720457029,989.884833060156,0.197913029204825,-2.87653858499282
79415,CYBC1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.49478002600063,NA,NA,6.4738850320933e-12,1.18323317362967e-10,1821.83205771768,0.0720328407875843,6.86881178905152
79415,CYBC1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.666714585900022,NA,NA,0.000714110129119274,0.00598158592801713,744.396417424781,0.197013636347598,3.38410375170029
