entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.271700934,NA,NA,0.630804977,0.737985235,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.239098548,NA,NA,0.675154975,0.766843302,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.634984597,NA,NA,0.264518875,0.944451847,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.081429728,NA,NA,0.886378573,0.957697105,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.012824536,NA,NA,0.000195109,0.000522628,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.928779565,NA,NA,0.000165256,0.000374604,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.622486771,NA,NA,0.239705675,0.726838833,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.260746446,NA,NA,0.617784465,0.692372498,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.088278549,NA,NA,0.875044658,0.906034233,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.598055165,NA,NA,0.273924367,0.341647447,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.183939194,NA,NA,0.716313431,1,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.003884204,NA,NA,0.994069282,0.997364325,NA,NA,NA
101928243,DARS1-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0580898218323484,NA,NA,0.775628545267848,0.99776532938064,47.4497798034304,0.203809377982426,-0.285020357784309
101928243,DARS1-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.258025641539358,NA,NA,0.612002617095869,0.709846958157812,40.392855506074,0.50870865331692,0.507216930274254
101928243,DARS1-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0269980008186486,NA,NA,0.956411159741095,1,40.392855506074,0.493946777662391,-0.0546577122061955
101928243,DARS1-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.662900509860575,NA,NA,0.230861573209909,0.554331509855143,18.0855896894631,0.553273545334739,1.1981424296358
101928243,DARS1-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.098312470901495,NA,NA,0.827647527879106,0.986307224021891,14.8520688851373,0.451555276102978,0.217719681519289
