entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
11067,DEPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.226246313,NA,NA,0.282368623,0.403058227,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.405954584,NA,NA,0.052497184,0.095783636,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.234558073,NA,NA,0.254376447,0.937302098,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.609878664,NA,NA,0.005847362,0.023393572,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.603270113,NA,NA,6.55e-17,6.45e-16,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.815586823,NA,NA,1.61e-30,2.75e-29,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.62951559,NA,NA,2.31e-05,0.000564021,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.814088059,NA,NA,2.17e-05,6.11e-05,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.913777701,NA,NA,9.26e-07,3.04e-06,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.327469696,NA,NA,1.16e-38,3.11e-37,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.082378867,NA,NA,0.647530944,1,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-2.126503229,NA,NA,6.58e-23,2.5e-21,NA,NA,NA
11067,DEPP1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0699739001437355,NA,NA,0.816431113913461,0.99776532938064,18432.0252571628,0.301432811012511,0.232137635941799
11067,DEPP1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.418043346094061,NA,NA,0.332211230777245,0.437321041481685,61.1669506353211,0.431119389179772,-0.969669554620149
11067,DEPP1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.368540323180764,NA,NA,0.371269986112377,0.568973865113592,61.1669506353211,0.412192767533561,-0.894097015301844
11067,DEPP1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.882675265639356,NA,NA,0.00282846127271187,0.015341991043469,51.8443985780213,0.295625294612684,2.98579073484155
11067,DEPP1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.44998582925976,NA,NA,0.222269727361684,0.512162755346655,73.3832335073278,0.36868522656346,-1.22051494564648
