entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
90871,DMAC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.095754009,NA,NA,0.474210542,0.600726542,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.561812554,NA,NA,6.75e-05,0.000231963,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.214817857,NA,NA,0.10624751,0.731806908,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.242791757,NA,NA,0.07944738,0.195837856,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.316841168,NA,NA,0.15820692,0.222977718,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.288110609,NA,NA,0.107739357,0.147261595,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.110725252,NA,NA,0.470545938,0.894357422,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.625873058,NA,NA,7.15e-05,0.000187035,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.584888691,NA,NA,0.140330835,0.195778319,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.123249817,NA,NA,0.756455417,0.802405158,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.054052867,NA,NA,0.891341614,1,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.445917107,NA,NA,0.260083097,0.393322671,NA,NA,NA
90871,DMAC1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.291764466037881,NA,NA,0.0506652926682821,0.388014521049485,261.713502932125,0.149293296730537,-1.95430385976736
90871,DMAC1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.03952069337771,NA,NA,8.15109579778592e-20,6.55666273033636e-19,462.700029577757,0.223848800424975,-9.11115310649732
90871,DMAC1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.885740418763813,NA,NA,2.12145126013592e-05,0.000134430840109352,462.700029577757,0.208325724556363,-4.25170929154345
90871,DMAC1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.491569140948668,NA,NA,1.76413763853787e-06,1.77172403247834e-05,713.942860768958,0.102866256114569,-4.77872102588407
90871,DMAC1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.0699953073878405,NA,NA,0.770856945458217,0.974709011191251,945.782473778083,0.240323805314767,0.291254157265708
