entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
2039,DMTN,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.399692215,NA,NA,0.071834356,0.235606573,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.428933456,NA,NA,0.057332499,0.122949067,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.281739745,NA,NA,0.21285738,0.405081829,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.043303615,NA,NA,0.86081446,0.942692198,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.058132207,NA,NA,0.80814153,1,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.428326725,NA,NA,0.063562239,0.149336931,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.4847651,NA,NA,0.032488498,0.077569554,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.125872301,NA,NA,0.576991687,0.997855584,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.380490606,NA,NA,0.095428994,0.433699222,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.330150865,NA,NA,9.07e-07,2.7e-06,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.721620437,NA,NA,0.014801803,0.02346631,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.043644759,NA,NA,0.861681352,1,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.976516133,NA,NA,0.000519011,0.001742177,NA,NA,NA
2039,DMTN,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.263917193944929,NA,NA,0.334540551187349,0.951858816593787,438.63775740754,0.273486909389009,-0.965008506383507
2039,DMTN,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.77525523667503,NA,NA,3.57524111580994e-21,3.08390367849491e-20,1012.95483125262,0.187969539962471,-9.44437719552576
2039,DMTN,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.869937739327084,NA,NA,1.5788510789202e-06,1.31325483469079e-05,1012.95483125262,0.181199750123774,-4.80098752196318
2039,DMTN,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.190291475460447,NA,NA,0.00202520700584098,0.0114251804742862,2279.39604498962,0.0616526226033384,3.08651063693993
2039,DMTN,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.594179817401284,NA,NA,0.0119214441771309,0.0567538247515558,1555.49814227219,0.236305031439575,-2.51446113432935
