entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,2.061145694,NA,NA,2.3e-07,1.2e-06,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.312866988,NA,NA,0.003181933,0.007976342,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.830031537,NA,NA,0.059188993,0.569009598,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,1.779104196,NA,NA,4.13e-05,0.00028669,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.749132027,NA,NA,0.000555734,0.001371522,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.520956855,NA,NA,5.23e-08,1.81e-07,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.287828557,NA,NA,0.005483853,0.06407143,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,2.305596836,NA,NA,2.15e-08,8.64e-08,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.195854129,NA,NA,0.003590137,0.007052804,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.924724216,NA,NA,0.033278486,0.051423422,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.958273043,NA,NA,0.016280765,0.452025498,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.724696272,NA,NA,6.5e-06,3.49e-05,NA,NA,NA
157983,DOCK8-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0285796436951016,NA,NA,0.911281105864009,0.99776532938064,14.7920019963894,0.256497339749771,-0.111422768450476
157983,DOCK8-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,4.29095862489693,NA,NA,0.0610818338618758,0.0992576722154603,3.0066133271279,2.29107407280173,1.87290261621683
157983,DOCK8-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.38197124024402,NA,NA,0.565928839569552,0.757880981606349,3.0066133271279,2.40737392092336,0.574057577110399
157983,DOCK8-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.55726206106428,NA,NA,0.405321193120972,0.772044522160528,1.3081852875143,1.87135951218268,0.832155473561545
157983,DOCK8-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.8021099354018,NA,NA,6.03361768587626e-12,7.0542624255123e-10,63.8165589033283,0.261978241050378,-6.87885348102348
