entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23033,DOP1A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.637841494,NA,NA,9.03e-37,2.68e-35,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.577783691,NA,NA,8.36e-30,1.78e-28,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.013139442,NA,NA,0.924999186,1,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.534029199,NA,NA,9.96e-05,0.000634309,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.076925332,NA,NA,0.720146252,0.783100711,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.893098116,NA,NA,7.33e-09,2.76e-08,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.313949166,NA,NA,0.056947837,0.347878165,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.029717407,NA,NA,0.848388512,0.887903285,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.24286064,NA,NA,3.15e-09,1.35e-08,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.06710961,NA,NA,5.3e-07,1.57e-06,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.195020466,NA,NA,0.329442463,1,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-2.006024293,NA,NA,1.39e-21,4.65e-20,NA,NA,NA
23033,DOP1A,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.942052434362799,NA,NA,5.97964049992275e-11,7.22632172143443e-09,618.686929450388,0.143951262291159,6.5442457354586
23033,DOP1A,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.03245279881397,NA,NA,5.37838494513928e-06,1.61207570173018e-05,377.613883168967,0.226939654762663,-4.54945963451706
23033,DOP1A,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.161321566158723,NA,NA,0.4493502083222,0.651861970925525,377.613883168967,0.213247624591307,0.756498772110118
23033,DOP1A,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.54040273797359,NA,NA,2.51383378903607e-36,1.45614317079085e-34,404.785170599036,0.122387899018403,12.5862340176455
23033,DOP1A,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.144812279230198,NA,NA,0.558831675154232,0.873942010500852,528.996728880019,0.247721163406474,0.584577745554112
