entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23392,ECPAS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.060524354,NA,NA,0.451688427,0.580365134,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.316173883,NA,NA,0.000148683,0.000480588,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.059410015,NA,NA,0.461512294,1,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.145344666,NA,NA,0.073958846,0.185397082,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.73985617,NA,NA,1.21e-11,7.73e-11,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.732809935,NA,NA,6.93e-16,4.72e-15,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.0032517,NA,NA,0.969376589,1,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.332123255,NA,NA,0.000187773,0.000462083,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.694554005,NA,NA,1.73e-07,6.2e-07,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.95371687,NA,NA,1.14e-12,5.82e-12,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.018648527,NA,NA,0.887050827,1,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.252557028,NA,NA,0.055426805,0.112154095,NA,NA,NA
23392,ECPAS,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.295389421731968,NA,NA,0.000695767501428575,0.0187884127532391,5685.95008893699,0.0871036218607126,3.39124155140558
23392,ECPAS,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-3.16420771034082,NA,NA,1.7758727389031e-80,2.09917531846646e-78,3333.46955867942,0.166555867614411,-18.9978759419404
23392,ECPAS,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.447841253352554,NA,NA,0.00483192818139136,0.015811443508323,3333.46955867942,0.158919968739803,-2.8180300871176
23392,ECPAS,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.532801612962137,NA,NA,6.16933644084515e-21,2.04666171486257e-19,3087.27941101141,0.0567591053649066,9.3870685511467
23392,ECPAS,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.109406655602099,NA,NA,0.277313785947293,0.593396909240954,2058.92385786005,0.100708142054605,1.08637348847899
