entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.245216861,NA,NA,0.602603025,0.713837114,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.524900702,NA,NA,0.280173154,0.391819763,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.341976189,NA,NA,0.481290119,1,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.463911728,NA,NA,0.341153196,0.560718416,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.190496144,NA,NA,0.762979708,0.819290328,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.63478078,NA,NA,0.259032663,0.319818221,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.187669014,NA,NA,0.73106042,0.966797203,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.622056081,NA,NA,0.267795243,0.346581361,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.198846839,NA,NA,0.026474779,0.044030507,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.141503648,NA,NA,0.039467145,0.060072404,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.418848298,NA,NA,0.405477069,1,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.023100426,NA,NA,0.964968527,0.980143385,NA,NA,NA
100506963,ELOA-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.25471440910002,NA,NA,0.395434662272817,0.99776532938064,9.63081199634025,0.299733504234584,-0.849802926604658
100506963,ELOA-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.52126495630601,NA,NA,1.00499553973811e-07,3.58934611162181e-07,62.6024889742174,0.473404238001378,5.32581830477545
100506963,ELOA-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.33245044656617,NA,NA,0.00500417383935581,0.0162941880114447,62.6024889742174,0.474728187738949,2.80676496778589
100506963,ELOA-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0442083664256024,NA,NA,0.954475841905126,0.99154155630517,7.49864732012544,0.774402538127334,-0.0570870629279023
100506963,ELOA-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.51693066977863,NA,NA,0.00233879882584349,0.015472994799791,18.6984621045636,0.498424195341512,-3.04345311474948
