entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
541578,EOLA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.031070757,NA,NA,0.859426201,0.912025796,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.113483248,NA,NA,0.537942238,0.648195757,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.009325503,NA,NA,0.956905578,1,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.255787398,NA,NA,0.156211134,0.325692066,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.014205576,NA,NA,0.964790245,0.974703339,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.278863689,NA,NA,0.268459404,0.330084255,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.363705171,NA,NA,0.120811383,0.537299141,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.039450958,NA,NA,0.86929686,0.904389784,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.677848785,NA,NA,1.5e-09,6.7e-09,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.534143397,NA,NA,6.56e-08,2.14e-07,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.175448137,NA,NA,0.479410736,1,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.337835419,NA,NA,0.182098774,0.297907881,NA,NA,NA
541578,EOLA2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.246129027087945,NA,NA,0.200995627763672,0.781527686701745,946.079901878378,0.192480763358607,1.27872013178474
541578,EOLA2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.00677337318581944,NA,NA,0.971892295535398,1,499.410901582193,0.192233835424572,0.0352350728000594
541578,EOLA2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0057184384811382,NA,NA,0.975712846907629,1,499.410901582193,0.187833833147926,-0.0304441345060276
541578,EOLA2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0428885000859781,NA,NA,0.712946107850704,0.924806207850071,412.129383899789,0.116575796426332,-0.367902269602599
541578,EOLA2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.659569322619365,NA,NA,0.0028678065934844,0.0182460512915422,430.134808547484,0.221215930728313,2.9815634002843
