entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
54586,EQTN,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.626673762,NA,NA,0.175939507,0.276843872,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.488444167,NA,NA,0.264280566,0.373634692,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.287050509,NA,NA,0.526446423,1,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.190220407,NA,NA,0.670884487,0.829998452,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,3.627988299,NA,NA,4.03e-10,2.22e-09,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,4.504640924,NA,NA,1.97e-16,1.39e-15,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.534039554,NA,NA,0.359483131,0.836431985,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,3.546142443,NA,NA,2.01e-12,1.18e-11,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,2.570142578,NA,NA,2.86e-07,1e-06,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,3.26105956,NA,NA,1.05e-10,4.53e-10,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.172657787,NA,NA,0.755002388,1,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,3.517491354,NA,NA,4.39e-11,5e-10,NA,NA,NA
54586,EQTN,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.440602381946679,NA,NA,0.146535118683626,0.678426301530856,8.40691904394143,0.303470355172558,1.45187948159268
54586,EQTN,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.94420690890374,NA,NA,0.191509503390492,0.273348621199148,5.43990794846781,1.48852866674683,1.30612661505055
54586,EQTN,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,2.49498664034999,NA,NA,0.080220751225983,0.171813923507807,5.43990794846781,1.42619020705329,1.74940665558558
54586,EQTN,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,3.21739136360206,NA,NA,0.172356712133816,0.452674813571016,0.886523098654101,2.35763280442462,1.36467025635371
54586,EQTN,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,2.4067337111882,NA,NA,0.490434563406326,0.820289698616605,0.279198177540986,3.48995294392759,0.689617811430909
