entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
8220,ESS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.188903289,NA,NA,0.248961701,0.366300225,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.833183613,NA,NA,5.65e-07,2.61e-06,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.0097877,NA,NA,0.951670993,1,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.288113747,NA,NA,0.105214318,0.242750095,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.22204909,NA,NA,0.460755867,0.548987984,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.167599982,NA,NA,0.473749647,0.538929499,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.258370972,NA,NA,0.249758708,0.736780546,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.754729126,NA,NA,0.003842484,0.00767155,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.931844278,NA,NA,0.000157223,0.000382996,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.252579317,NA,NA,0.304252748,0.374631066,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.036814396,NA,NA,0.874781133,1,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.181591918,NA,NA,1.24e-06,7.52e-06,NA,NA,NA
8220,ESS2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0935580689848655,NA,NA,0.551600894752359,0.99776532938064,340.066247300013,0.157144597438412,-0.595362936492504
8220,ESS2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.434117480351258,NA,NA,0.0295973928474252,0.051565167310426,398.342344514193,0.199554159916932,2.17543688656737
8220,ESS2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.258919519533329,NA,NA,0.190376920789568,0.344545300071207,398.342344514193,0.197729255705323,-1.30946489739079
8220,ESS2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.365628730273574,NA,NA,0.00479102144442602,0.0243111910715089,317.169005431373,0.129620701141718,2.82075877582101
8220,ESS2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.248856562997344,NA,NA,0.157660759143801,0.404375360303753,448.704946812782,0.176121428814821,1.41298287591681
