entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
80233,FAAP100,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.043670164,NA,NA,0.840569252,0.92408844,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.96602637,NA,NA,9.64e-06,0.000123011,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.57720849,NA,NA,0.00833364,0.040877163,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.436918583,NA,NA,0.045188324,0.244649326,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.200810534,NA,NA,0.358072204,1,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.193807134,NA,NA,0.285344761,0.445858789,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.619996512,NA,NA,0.000543583,0.002551536,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.028625994,NA,NA,0.870699497,1,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.004232593,NA,NA,0.980926865,0.9980555,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.811102815,NA,NA,1.4e-05,3.64e-05,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-1.18965904,NA,NA,1.44e-08,4.69e-08,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.078045171,NA,NA,0.630199909,1,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.414081382,NA,NA,0.017228017,0.038000013,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.998013241,NA,NA,7.99e-09,4.86e-08,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.512372731,NA,NA,0.002408123,0.006186746,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.17877653,NA,NA,0.242489317,0.931191511,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.535728728,NA,NA,0.0015036,0.007239959,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.431522538,NA,NA,0.059982086,0.095843438,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.438198447,NA,NA,0.009773693,0.016561636,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.176292384,NA,NA,0.244363747,0.730771632,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.939069687,NA,NA,4.04e-06,1.25e-05,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.647319638,NA,NA,0.031556246,0.051674315,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.646094434,NA,NA,0.03346716,0.051673589,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.321219896,NA,NA,0.276084063,1,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.297674051,NA,NA,0.314631199,0.453582538,NA,NA,NA
80233,FAAP100,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.145086601733367,NA,NA,0.282335386025272,0.893537183949201,735.950055238051,0.13495324864004,-1.07508787817591
80233,FAAP100,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.03145884013544,NA,NA,2.53533102268094e-08,9.57501385385769e-08,546.450397070784,0.185153632541466,-5.57082691804299
