entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
84792,FAM220A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.634710007,NA,NA,2.57e-05,0.000612809,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.484346974,NA,NA,0.001462511,0.007268338,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.341682103,NA,NA,0.025115855,0.092810973,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.27277869,NA,NA,0.115584515,0.365812442,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.075668638,NA,NA,0.623242562,1,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-1.542285274,NA,NA,3.77e-10,1.03e-08,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.430304397,NA,NA,0.070585845,0.144742691,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.44243173,NA,NA,0.036560399,0.553665742,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.358275321,NA,NA,0.092160933,0.425483196,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-1.337591029,NA,NA,4.25e-08,1.47e-07,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-1.172326457,NA,NA,1.42e-05,3.4e-05,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.11895342,NA,NA,0.579409835,1,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.409942013,NA,NA,0.052005786,0.098104479,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.199201372,NA,NA,4.6e-08,2.57e-07,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.564876893,NA,NA,0.011397875,0.025025239,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.121286968,NA,NA,0.56029574,1,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.59096724,NA,NA,0.006473282,0.025464555,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.201608713,NA,NA,0.003216404,0.006826843,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.15667506,NA,NA,5.57e-05,0.000134618,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.224379432,NA,NA,0.370484021,0.842996317,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.566788187,NA,NA,0.038661874,0.063075813,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.620956376,NA,NA,3.33e-10,1.6e-09,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-2.369054621,NA,NA,1.49e-08,5.16e-08,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.007014972,NA,NA,0.985674756,1,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.073961364,NA,NA,0.006637453,0.018048682,NA,NA,NA
84792,FAM220A,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.209145977932741,NA,NA,0.023169011128763,0.241915368199124,297.516948557073,0.0921089778304468,-2.27063618399647
84792,FAM220A,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.433121467356916,NA,NA,0.0583478041540498,0.0952487967698623,302.423131365421,0.2287924719606,-1.893075692768
