entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.478744791,NA,NA,8.7e-06,3.67e-05,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.542538278,NA,NA,0.099178607,0.165537915,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.543574295,NA,NA,0.078511117,0.646613927,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-1.233119324,NA,NA,0.000349964,0.001990243,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.385465833,NA,NA,0.015758403,0.028897893,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.83426176,NA,NA,0.044083319,0.065731111,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.183718408,NA,NA,0.644266343,0.951576254,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.596722957,NA,NA,0.194044587,0.262875497,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.011577722,NA,NA,0.004844139,0.009292777,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.885145716,NA,NA,0.014683799,0.024397138,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.16485124,NA,NA,0.578473922,1,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.212838959,NA,NA,0.498676578,0.637838291,NA,NA,NA
55199,FAM86C1P,NA,misc_RNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.208153563275688,NA,NA,0.481349639234425,0.99776532938064,58.9645807449086,0.295616616950994,-0.70413350041887
55199,FAM86C1P,NA,misc_RNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.695080457293933,NA,NA,0.00771672891411054,0.0150459976331431,202.668221699489,0.260894632569686,-2.66421907744029
55199,FAM86C1P,NA,misc_RNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.786396573126668,NA,NA,0.00179224250582392,0.0066878088247316,202.668221699489,0.2518354236613,-3.12266067137685
55199,FAM86C1P,NA,misc_RNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.345138338125884,NA,NA,0.084561359289124,0.269171174288702,128.484991847391,0.200102004767915,-1.72481199539299
55199,FAM86C1P,NA,misc_RNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.0164002627859792,NA,NA,0.938032485907983,0.986307224021891,92.7878062413664,0.210954839511801,0.0777430033078798
