entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.553398404,NA,NA,0.19717458,0.303948674,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.030898577,NA,NA,0.945290616,0.967933813,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.052209112,NA,NA,0.905707119,1,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.773453359,NA,NA,0.082264929,0.200789056,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.873221686,NA,NA,0.152309383,0.215686629,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.256448553,NA,NA,0.014137233,0.023219115,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.182066268,NA,NA,0.701322862,0.960291025,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.262931742,NA,NA,0.014597451,0.026014876,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.571646054,NA,NA,0.174959177,0.237374302,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.018979277,NA,NA,0.964892088,0.973150344,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.164162703,NA,NA,0.682408874,1,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.483566173,NA,NA,0.234425059,0.36310142,NA,NA,NA
100507557,FBXO30-DT,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.312607379789199,NA,NA,0.294935372347571,0.90971770444911,14.5978586149646,0.298472869633251,-1.04735609696558
100507557,FBXO30-DT,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.620538548133188,NA,NA,0.464263838401203,0.578122071070913,14.0114215847806,0.847911051870719,0.731843920142464
100507557,FBXO30-DT,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.541940082374839,NA,NA,0.507733782075853,0.708386504614789,14.0114215847806,0.818182653513669,0.662370535536886
100507557,FBXO30-DT,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.546971504134272,NA,NA,0.417951834878631,0.782506247575149,9.33275474359113,0.675290374034058,-0.809979714158765
100507557,FBXO30-DT,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.78911998571745,NA,NA,0.000121763286902514,0.00142062273431839,25.2499753937817,0.465607638655799,-3.84254861213747
