entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51313,GASK1B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.239222725,NA,NA,2.73e-24,4.91e-23,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.957790513,NA,NA,8.83e-54,4.27e-52,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.111681618,NA,NA,0.352846617,1,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.102987273,NA,NA,0.394618289,0.611990411,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.544758546,NA,NA,4.2e-07,1.66e-06,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.377010986,NA,NA,0.000233705,0.000518497,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.027019446,NA,NA,0.785611575,0.973858129,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.641415191,NA,NA,1.28e-10,6.42e-10,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.096545505,NA,NA,0.760062513,0.814440807,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.307477488,NA,NA,0.331013446,0.402921823,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.156387996,NA,NA,0.620706815,1,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.293489826,NA,NA,0.35308876,0.494657517,NA,NA,NA
51313,GASK1B,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.698001006819359,NA,NA,0.000118948583971384,0.00434867582203506,603.607143166376,0.181379852349058,-3.8482830247104
51313,GASK1B,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.00386962039549,NA,NA,0.000142011780768584,0.000358480138979213,47.6523715587017,0.526691284139941,-3.80463789839944
51313,GASK1B,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.6705479427499,NA,NA,0.000546623287301315,0.00235373266366215,47.6523715587017,0.483263785109881,-3.45680349784552
51313,GASK1B,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.8901454366059,NA,NA,1.03940995715461e-08,1.40623804134398e-07,241.332695064933,0.155506480286142,-5.72416940418156
51313,GASK1B,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.41816287230912,NA,NA,0.000637424431832032,0.00548114098892402,79.7710150391426,0.415254080117967,-3.41516902592803
