entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
6936,GCFC2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.05636804,NA,NA,0.823499443,0.914466716,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.343097296,NA,NA,0.179649423,0.292093364,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.023826677,NA,NA,0.927077101,0.965832937,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.395720221,NA,NA,0.12826888,0.383177009,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.032015317,NA,NA,0.900297473,1,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.48469356,NA,NA,0.063922307,0.14993146,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.435635512,NA,NA,0.120167033,0.219432362,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.291958299,NA,NA,0.231751118,0.911449424,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.269871884,NA,NA,0.273385191,0.679450373,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.240264244,NA,NA,0.325887554,0.395017541,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.47268642,NA,NA,0.086118942,0.118214621,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.401633892,NA,NA,0.116366147,0.753455352,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.066866708,NA,NA,0.776583351,0.845416004,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.662210964,NA,NA,0.001366155,0.003949608,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.14911162,NA,NA,7.96e-07,3.62e-06,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.109556426,NA,NA,0.588495082,1,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.05943786,NA,NA,0.778603585,0.901026003,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.573613078,NA,NA,0.088584559,0.135099767,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.560023158,NA,NA,0.017928478,0.02887147,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.104980314,NA,NA,0.621296964,0.943781811,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.688212968,NA,NA,0.002374642,0.004899404,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.487460671,NA,NA,0.034226469,0.055710038,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.739695409,NA,NA,0.002483965,0.004687076,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.024399687,NA,NA,0.909227759,1,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.194007508,NA,NA,0.380580689,0.523014697,NA,NA,NA
6936,GCFC2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.124606622796977,NA,NA,0.496133614308686,0.99776532938064,285.044766876323,0.183087309092665,-0.680585800373038
6936,GCFC2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.84486361615093,NA,NA,3.19909562450475e-15,1.98322279963915e-14,410.008718143636,0.234034088713197,-7.88288418279001
6936,GCFC2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.955316964841567,NA,NA,1.43282526262156e-05,9.4524256441489e-05,410.008718143636,0.220181529576751,-4.33876977182393
6936,GCFC2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.347287602230643,NA,NA,0.00447459582242053,0.0229125737770349,363.995050190548,0.122172141473726,-2.84260878168636
6936,GCFC2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.314503401661975,NA,NA,0.0389935162729436,0.143694025137191,335.756116990681,0.152356833405363,-2.064255305341
