entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.311042244,NA,NA,0.129068428,0.329466262,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.226581678,NA,NA,0.271363932,0.398029629,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.11197015,NA,NA,0.589005249,0.754899991,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.082356141,NA,NA,0.703112861,0.863355495,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.073782282,NA,NA,0.724314246,1,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.218326237,NA,NA,0.287567078,0.448474729,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.339968499,NA,NA,0.109719072,0.203706725,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.042941494,NA,NA,0.825055025,1,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.021825937,NA,NA,0.911933807,0.983740663,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.204365701,NA,NA,0.350998786,0.420737298,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.622337476,NA,NA,0.007539538,0.012557228,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.216824039,NA,NA,0.344347891,0.988793007,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.151239141,NA,NA,0.492851449,0.605570397,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.279262066,NA,NA,0.143356603,0.234120213,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.037609204,NA,NA,0.856824155,0.904552851,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.077252448,NA,NA,0.695856716,1,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.243765547,NA,NA,0.228940866,0.43038981,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.892019295,NA,NA,0.00268302,0.005774928,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.297767177,NA,NA,0.245760711,0.305976941,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.129954992,NA,NA,0.586268423,0.931153797,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.504721513,NA,NA,0.044523644,0.071594948,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.102213217,NA,NA,0.632104569,0.703062053,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.480755671,NA,NA,0.024781898,0.039451187,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.059371477,NA,NA,0.772375865,1,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.195891349,NA,NA,0.350543778,0.492164102,NA,NA,NA
55425,GPALPP1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.218426772840451,NA,NA,0.0372428680073455,0.32162428249396,366.151282213262,0.104857013921322,-2.08309167572086
55425,GPALPP1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.211617773105722,NA,NA,0.250004608694212,0.344213204237132,537.553929617799,0.183961356424595,1.15033818633786
55425,GPALPP1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.341308252191655,NA,NA,0.0605732495145366,0.136272062367134,537.553929617799,0.181876087646304,-1.87659772435506
55425,GPALPP1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.177333597982995,NA,NA,0.113697363681407,0.335068465066508,421.271097057759,0.112109396259339,-1.58179067856877
55425,GPALPP1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.0655939343810269,NA,NA,0.766124850182071,0.972234691529453,275.201369139602,0.220522696028416,-0.297447544231794
