entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-1.663941904,NA,NA,1.65e-11,9.72e-10,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.810959974,NA,NA,0.00113072,0.005940411,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-1.037267025,NA,NA,4.99e-05,0.000583613,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.787242167,NA,NA,0.001986925,0.063243979,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.029215124,NA,NA,0.902788577,1,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-2.159654071,NA,NA,3.26e-11,1.02e-09,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-1.225767271,NA,NA,0.000678586,0.003081272,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.188280243,NA,NA,0.487499711,0.993525251,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-1.242719147,NA,NA,8.78e-06,0.000310946,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-2.873926852,NA,NA,1.62e-13,9.5e-13,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-1.812983976,NA,NA,4.49e-05,0.000101166,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.625553461,NA,NA,0.037195904,0.461988675,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-1.447165559,NA,NA,1.86e-07,1.29e-06,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.62321392,NA,NA,1.74e-10,1.25e-09,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-2.002064295,NA,NA,8.04e-13,6.63e-12,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.089084708,NA,NA,0.68369017,1,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-1.677599832,NA,NA,9.67e-11,1.4e-09,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-2.552845152,NA,NA,5.54e-09,2.73e-08,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-2.021198291,NA,NA,6.74e-14,3.93e-13,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.407739285,NA,NA,0.060501765,0.359411788,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-2.686416597,NA,NA,1.19e-17,1.07e-16,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-4.51901079,NA,NA,3.12e-23,4.36e-22,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-4.179401557,NA,NA,1.41e-18,1.14e-17,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.259483593,NA,NA,0.512957194,1,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.723318473,NA,NA,1.94e-05,9.45e-05,NA,NA,NA
253635,GPATCH11,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.699616651380508,NA,NA,3.71848535063644e-08,3.158292709418e-06,330.169818771667,0.12711692491362,-5.50372542331338
253635,GPATCH11,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.295689122454904,NA,NA,0.10145817011001,0.156544783371394,651.750069514958,0.180537659628738,-1.63782516657725
253635,GPATCH11,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.577427107533137,NA,NA,0.000875533469669413,0.00355648524593719,651.750069514958,0.173519266003972,3.32774060673999
253635,GPATCH11,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.84835184227165,NA,NA,6.37317434150978e-07,6.84219059570209e-06,209.009364597574,0.170367113745449,-4.97955164949969
253635,GPATCH11,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.62142867984964,NA,NA,1.45720677609888e-12,1.97796271959647e-10,194.718826921621,0.229063805399627,-7.07850232829617
