entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.264231938,NA,NA,1.59e-06,7.49e-06,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.984832182,NA,NA,0.000945619,0.002631488,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.330276742,NA,NA,0.214959051,0.907675922,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.753249863,NA,NA,0.00488851,0.020007787,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.451237368,NA,NA,2.41e-06,8.57e-06,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.902069958,NA,NA,0.000151568,0.000345606,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.564677421,NA,NA,0.007871053,0.085446872,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.740078535,NA,NA,0.00063104,0.001433186,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.581372641,NA,NA,0.000613397,0.001367169,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.513929696,NA,NA,0.001052176,0.002110229,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.521085696,NA,NA,0.256845093,1,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.7448868,NA,NA,0.105124749,0.191549899,NA,NA,NA
65983,GRAMD2B,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.198043661067448,NA,NA,0.0635074131346571,0.441061449218741,713.14703812659,0.106726277907936,1.85562229799004
65983,GRAMD2B,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.122848761766511,NA,NA,0.774009150836256,0.846136929157838,62.5786089337153,0.427843599093576,0.287134742758281
65983,GRAMD2B,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.251859712149583,NA,NA,0.539456448269601,0.736171090643572,62.5786089337153,0.410438858795324,0.613635153573945
65983,GRAMD2B,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.666594551260426,NA,NA,0.00678900811989624,0.0329876738665896,72.3612333235953,0.246246591317952,2.70702042084198
65983,GRAMD2B,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.39378449188247,NA,NA,0.0959148718184951,0.283025124648503,1633.07908679833,0.236508708885649,1.66498939399675
