entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
399972,GSEC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.703387663,NA,NA,6.48e-05,0.000237887,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.467914704,NA,NA,0.288776965,0.40155315,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.186235304,NA,NA,0.670635704,1,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.227362153,NA,NA,0.629193071,0.803058734,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.245456391,NA,NA,0.070382817,0.11041662,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.438229012,NA,NA,0.503680374,0.568163239,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.181399014,NA,NA,0.780998033,0.973858129,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.635141202,NA,NA,0.342779782,0.426802024,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.201478384,NA,NA,0.720758613,0.781893936,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.130129006,NA,NA,0.822981406,0.858229006,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.402853904,NA,NA,0.448057219,1,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.792643581,NA,NA,0.133669882,0.233062991,NA,NA,NA
399972,GSEC,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.182216906582038,NA,NA,0.320919132445222,0.939272584160014,35.9723302949619,0.183580754101347,-0.992570857844082
399972,GSEC,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.11478760639596,NA,NA,0.0339622431613333,0.058337598966463,40.7253846600282,0.525714339633296,-2.120519685983
399972,GSEC,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.574652312306924,NA,NA,0.236181696758586,0.406699070101892,40.7253846600282,0.485108681086821,-1.1845846811471
399972,GSEC,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.223454744979023,NA,NA,0.45631947646273,0.816966227451465,55.7159424017847,0.299971062217267,0.744921004470677
399972,GSEC,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.983009779451138,NA,NA,0.310362515032492,0.637071949195495,3.22530081101542,0.968996481712852,1.01446166008107
