entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
85235,H2AC12,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-1.098379275,NA,NA,6.76e-09,4.15e-08,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-2.258890934,NA,NA,1.57e-34,3.97e-33,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.362002348,NA,NA,0.0327903,0.415248981,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.886719753,NA,NA,1.19e-06,1.07e-05,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.7931039,NA,NA,0.005968116,0.011994506,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.029800954,NA,NA,0.889633103,0.911661325,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.206845508,NA,NA,0.26178101,0.747938822,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.181308675,NA,NA,0.366910151,0.451782085,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,2.561064902,NA,NA,2.33e-05,6.4e-05,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.622765003,NA,NA,1.42e-05,3.6e-05,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.371412599,NA,NA,0.538888126,1,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.66274105,NA,NA,0.272917614,0.407765118,NA,NA,NA
85235,H2AC12,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.440850549224725,NA,NA,0.464096209053003,0.99776532938064,2.12355913971332,0.602157322477738,0.732118555680311
85235,H2AC12,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-3.44223897513875,NA,NA,3.37419657061924e-65,2.11849089359066e-63,1016.25926503276,0.201866441070712,-17.0520615357407
85235,H2AC12,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.58231762003796,NA,NA,6.07533017454694e-18,3.83831361560561e-16,1016.25926503276,0.183327000860459,-8.63112150753154
85235,H2AC12,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.138404254927723,NA,NA,0.954841708871318,0.991746571785232,0.730351078671741,2.44410547967519,-0.0566277748970623
85235,H2AC12,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.837712858575908,NA,NA,0.498919795569489,0.827223950787384,1.30569509965411,1.23887135133028,0.676190354774439
