entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
3014,H2AX,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.773868765,NA,NA,7.06e-06,3.03e-05,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.857831147,NA,NA,5.42e-07,2.51e-06,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.267034139,NA,NA,0.099394785,0.712675867,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.712149576,NA,NA,4.97e-05,0.00033939,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.583321006,NA,NA,0.011134125,0.021094439,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.7097907,NA,NA,0.000182105,0.000410447,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.296412463,NA,NA,0.105719612,0.499873479,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.262143518,NA,NA,0.18120965,0.247464027,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.421483747,NA,NA,0.00031923,0.000745529,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.301791438,NA,NA,5.01e-09,1.83e-08,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.335711055,NA,NA,0.397838674,1,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.120219941,NA,NA,0.762216855,0.848942394,NA,NA,NA
3014,H2AX,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0838874308171897,NA,NA,0.706128282050034,0.99776532938064,557.143372447972,0.222477088486869,-0.377060988112226
3014,H2AX,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.78134299468561,NA,NA,1.33124286339636e-25,1.43054485038071e-24,1022.67951553068,0.170315250812411,-10.4590926895186
3014,H2AX,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.511768552859584,NA,NA,0.00153922519583653,0.00584760501355124,1022.67951553068,0.16158468804511,-3.16718470698605
3014,H2AX,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.280052939332715,NA,NA,0.195306738775788,0.49458658306509,1224.52034577709,0.216250565388926,-1.2950391081246
3014,H2AX,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.721190342693042,NA,NA,0.000319677718283252,0.00310700390812078,1945.75461071235,0.200396942339054,3.59880911492577
