entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.956903271,NA,NA,8.13e-18,1.03e-16,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.614787482,NA,NA,2.28e-40,7.22e-39,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.00899442,NA,NA,0.931726736,1,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.215143829,NA,NA,0.045892948,0.127794478,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.02551722,NA,NA,2.05e-07,8.43e-07,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.443855593,NA,NA,7.12e-22,7.28e-21,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.029445591,NA,NA,0.803268763,0.976010452,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.249921415,NA,NA,0.05017741,0.079690193,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.038793749,NA,NA,0.83806132,0.876919493,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.36428108,NA,NA,0.057625664,0.085012172,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.123022369,NA,NA,0.511987483,1,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.266905908,NA,NA,0.15675384,0.264460002,NA,NA,NA
94239,H2AZ2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.18774433691898,NA,NA,0.103240515702263,0.575591968150663,1484.75665200964,0.115227048350996,-1.62934258584051
94239,H2AZ2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.13133649688156,NA,NA,3.23818784989608e-17,2.26330632657554e-16,2914.32885636744,0.134082156038831,-8.43763652304274
94239,H2AZ2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.11443964831344,NA,NA,4.16049780022043e-17,2.36866306965092e-15,2914.32885636744,0.132540663138977,-8.40828483817741
94239,H2AZ2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.918770064626724,NA,NA,5.29005867156383e-48,4.19582928489049e-46,3289.66515342974,0.0631163513398209,-14.5567677016061
94239,H2AZ2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.54471371993818,NA,NA,0.00144408197638893,0.0105218709282531,2676.17588176523,0.170987560396698,-3.18569209756793
