entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
8343,H2BC7,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.983558471,NA,NA,1.19e-07,6.4e-07,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.593844779,NA,NA,7.57e-19,9.18e-18,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.317927461,NA,NA,0.064319328,0.591991708,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.626414142,NA,NA,0.000603332,0.0032138,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.038413771,NA,NA,0.006119559,0.012259994,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.440933993,NA,NA,0.059260058,0.086017633,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.122353679,NA,NA,0.533101498,0.919739144,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.561718166,NA,NA,0.005988455,0.011535285,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.147611548,NA,NA,0.736972453,0.795291419,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.331731471,NA,NA,0.451818047,0.525917297,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.355907892,NA,NA,0.414296032,1,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.105276273,NA,NA,0.809699808,0.879947136,NA,NA,NA
8343,H2BC7,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.121767078317312,NA,NA,0.874902072004555,0.99776532938064,9.44777677094499,0.773443759012363,-0.157434948434777
8343,H2BC7,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.54686178380171,NA,NA,0.238966673421711,0.331119583096677,50.4476977597377,0.464397149354466,-1.17757351560377
8343,H2BC7,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.257622516513054,NA,NA,0.55625745751353,0.749586306413993,50.4476977597377,0.437828609362893,-0.588409507747641
8343,H2BC7,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-1.01497926486175,NA,NA,0.409954272646865,0.775995012131584,3.06414994666258,1.23180966582548,-0.823974103321856
8343,H2BC7,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.446261648802165,NA,NA,0.60111582580222,0.905121697444403,14.242858014003,0.853604773254826,-0.522796571416245
