entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
121504,H4-16,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.292618709,NA,NA,0.084687544,0.151119736,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.510224686,NA,NA,0.002070532,0.005395093,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.510935853,NA,NA,0.001766781,0.065045455,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.907865046,NA,NA,1.17e-06,1.05e-05,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.98465207,NA,NA,2.4e-05,7.38e-05,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.556228522,NA,NA,7.33e-17,5.33e-16,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.242011024,NA,NA,0.207299104,0.688083606,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.096714137,NA,NA,0.658346177,0.728157193,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.009683869,NA,NA,0.005205522,0.009932959,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.157740489,NA,NA,0.001312136,0.002594522,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.066763187,NA,NA,0.853230274,1,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.438991084,NA,NA,0.22685661,0.353943199,NA,NA,NA
121504,H4-16,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0426261192059993,NA,NA,0.835940807908382,0.99776532938064,24.9807968676836,0.205835361631036,0.207088417015573
121504,H4-16,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.61668961160115,NA,NA,4.70173259725451e-38,8.8808546171572e-37,670.748873097843,0.202897054389446,-12.8966367672278
121504,H4-16,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.703656986779376,NA,NA,0.000121414701456553,0.000628158617162203,670.748873097843,0.183088955123864,-3.84325196625508
121504,H4-16,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.872277108315699,NA,NA,0.296909834102782,0.649291674963471,7.073443801086,0.836248959515241,1.04308304170727
121504,H4-16,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.557030201839565,NA,NA,0.369773703440654,0.708045903656733,13.6400352639758,0.621063505743715,-0.896897332862167
