entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.144883711,NA,NA,0.693165009,0.84376886,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.440785043,NA,NA,0.234510632,0.356005479,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.329869913,NA,NA,0.386858439,0.58739679,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.610193032,NA,NA,0.112108902,0.360399827,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.363196021,NA,NA,0.346508813,1,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.099292545,NA,NA,0.83018199,0.901075377,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.045154287,NA,NA,0.922409345,0.953146037,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.376970486,NA,NA,0.416055225,0.984684536,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.794294559,NA,NA,0.086857795,0.412319947,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.065685077,NA,NA,0.084774386,0.119402829,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.267515968,NA,NA,0.056311978,0.080280159,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.973166757,NA,NA,0.142580472,0.811123296,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.129812068,NA,NA,0.839310494,0.889818106,NA,NA,NA
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0678837607045424,NA,NA,0.914088908225019,0.99776532938064,8.36960342789388,0.629237994727738,-0.107882488459577
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-3.72054591916365,NA,NA,1.25812330704998e-14,7.51629379880995e-14,92.7850842619615,0.482560735700115,-7.71000548514533
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.880278163114104,NA,NA,0.010273467469098,0.0302512961843131,92.7850842619615,0.342989616938946,-2.56648632973283
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.550233678084297,NA,NA,0.279141819934221,0.62659449182885,18.9918205807186,0.508416811147517,1.08224918220622
728643,HNRNPA1P33,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.522540131396872,NA,NA,0.657329138736262,0.914831983796644,2.87927690988999,1.17794361340059,0.443603688200624
