entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.109466987,NA,NA,0.465942903,0.681417392,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.446715084,NA,NA,0.003085058,0.013120624,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.214249305,NA,NA,0.15676176,0.332116543,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.08702917,NA,NA,0.575678388,0.784236182,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.169120015,NA,NA,0.266814355,1,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.035508399,NA,NA,0.82042876,0.894778022,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.589688963,NA,NA,0.000248362,0.001306352,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.108352113,NA,NA,0.472930574,0.993525251,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.217969504,NA,NA,0.149652716,0.54116083,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.231950623,NA,NA,0.095028225,0.132444624,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.162280554,NA,NA,0.281963952,0.339116138,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.115363863,NA,NA,0.395980649,1,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.126633023,NA,NA,0.35331971,0.469725846,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.066957523,NA,NA,1.36e-22,2.26e-21,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.049862,NA,NA,0.66276958,0.756978459,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.00134134,NA,NA,0.990563902,1,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,1.219473415,NA,NA,4.5e-27,1.79e-25,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.983598154,NA,NA,2.18e-14,1.78e-13,NA,NA,NA
92906,HNRNPLL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.886932177,NA,NA,3.4e-15,2.19e-14,NA,NA,NA
