entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,4.961491253,NA,NA,2.68e-76,1.06e-73,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,3.901725826,NA,NA,4.14e-40,5.81e-38,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,3.450383641,NA,NA,2.06e-30,2.18e-28,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.354537844,NA,NA,0.34633305,0.610866661,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,1.252900696,NA,NA,4.79e-05,0.006442298,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,3.582847777,NA,NA,1.52e-21,9.95e-20,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,5.081711375,NA,NA,2.6e-38,2.35e-36,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.192283445,NA,NA,0.65227329,0.997855584,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.190999992,NA,NA,0.64825885,0.899052695,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,6.262434039,NA,NA,4.92e-75,8.94e-73,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,6.702961907,NA,NA,3.6e-62,2.48e-60,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.271264833,NA,NA,0.645432092,1,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,3.55675428,NA,NA,4.39e-18,1.6e-16,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.095596617,NA,NA,0.843388412,0.900437372,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.705309276,NA,NA,0.144990402,0.228518773,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.09585466,NA,NA,0.842756285,1,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.212196113,NA,NA,0.66156191,0.823287743,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.448183219,NA,NA,1.49e-17,1.53e-16,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.533699547,NA,NA,7.7e-25,9.44e-24,NA,NA,NA
3311,HSPA7,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.106936673,NA,NA,0.683525732,0.955289592,NA,NA,NA
