entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
282616,IFNL2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,3.507062548,NA,NA,9.77e-21,1.04e-18,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,4.310236799,NA,NA,2.84e-31,3.05e-29,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,4.074132623,NA,NA,5.87e-28,5.6e-26,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.57141033,NA,NA,0.154869435,0.415504018,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.454517499,NA,NA,0.259651158,1,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,6.920978315,NA,NA,1.88e-86,4.69e-84,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,7.575808045,NA,NA,7.47e-100,1.96e-97,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,3.200446585,NA,NA,5.63e-18,2.8e-15,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,4.223933991,NA,NA,2.22e-31,3.54e-29,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,6.024873177,NA,NA,9.11e-24,1.3e-22,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,4.11745126,NA,NA,1.21e-09,4.33e-09,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,4.429390206,NA,NA,1.54e-13,3.4e-10,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,5.399548853,NA,NA,7.26e-19,2.91e-17,NA,NA,NA
282616,IFNL2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,7.34391799336566,NA,NA,4.50957019109445e-07,3.08193107749234e-05,16.7304778301136,1.45536972379066,5.04608407974688
282616,IFNL2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,7.70339986423008,NA,NA,4.98436442776061e-23,4.71508475367694e-22,171.067439126447,0.779540971298108,9.88196919451484
282616,IFNL2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,6.90795349899639,NA,NA,7.46393960411177e-19,5.26894006239119e-17,171.067439126447,0.77899741714359,8.86774891286073
282616,IFNL2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,10.5115395638596,NA,NA,1.01316129163567e-18,3.01448778237323e-17,136.740043346745,1.18994322162178,8.83364800341765
282616,IFNL2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,6.18369448515586,NA,NA,0.0461896294725311,0.163270133976567,144.693718355579,3.10168534200305,1.99365628789491
