entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55726,INTS13,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.947373792,NA,NA,1.61e-08,9.42e-08,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.750027902,NA,NA,1.78e-05,6.7e-05,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.11849195,NA,NA,0.477100421,1,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.167957838,NA,NA,0.315050751,0.532080334,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.4709265,NA,NA,0.043448085,0.072041685,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.042831362,NA,NA,1.22e-08,4.49e-08,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.073996688,NA,NA,0.649775455,0.952469882,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.197495966,NA,NA,0.258982198,0.336807766,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.848592394,NA,NA,7.88e-07,2.61e-06,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.85233394,NA,NA,1.5e-06,4.25e-06,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.029372188,NA,NA,0.856252973,1,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.273857795,NA,NA,0.103460648,0.188963798,NA,NA,NA
55726,INTS13,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0385338303560361,NA,NA,0.732790107367005,0.99776532938064,552.477773594438,0.112864604251774,-0.341416430877446
55726,INTS13,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.68162091506085,NA,NA,1.74183763055122e-15,1.09771718593275e-14,524.666778201642,0.211299601264727,-7.9584670533951
55726,INTS13,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.451591864710136,NA,NA,0.0227032156251747,0.0594041684790355,524.666778201642,0.198206370163808,-2.27839228545942
55726,INTS13,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.00787692724779981,NA,NA,0.937423157245901,0.982358042205053,549.990271684761,0.100331496616797,0.0785090177403085
55726,INTS13,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.187141190353417,NA,NA,0.225396529673744,0.517226112048624,406.952791598734,0.154368368499841,1.21230270276264
