entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51155,JPT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.255212273,NA,NA,0.020158112,0.043908383,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.154083807,NA,NA,0.170888042,0.261593164,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.113531126,NA,NA,0.305734789,0.975736123,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.172372079,NA,NA,0.133808538,0.290352452,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.718813301,NA,NA,1.88e-06,6.78e-06,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.655845069,NA,NA,2.12e-07,6.85e-07,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.056160816,NA,NA,0.663813334,0.953037261,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.921426609,NA,NA,1.79e-12,1.06e-11,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.137711724,NA,NA,0.58432648,0.659876093,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.426416218,NA,NA,0.090051137,0.12692836,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.014904355,NA,NA,0.952731259,1,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.061513654,NA,NA,0.806756749,0.878182216,NA,NA,NA
51155,JPT1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.309222780361625,NA,NA,0.0623366614944253,0.436516196726864,270.088236220119,0.16590152822416,-1.86389350159461
51155,JPT1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.130109427491714,NA,NA,0.386706655011567,0.497633427519914,1522.3832297215,0.150310342801686,0.865605287477626
51155,JPT1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.018172651317089,NA,NA,0.902757942370071,0.973758118789714,1522.3832297215,0.14873898101007,-0.122178135104063
51155,JPT1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0061379432687008,NA,NA,0.925245436356922,0.9762056558329,1616.7186462425,0.0654166584351003,0.0938284439397074
51155,JPT1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.975816254837453,NA,NA,0.000164849147523512,0.00181093264073796,1436.86633107695,0.259004649298885,3.76756269618692
