entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
3735,KARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.05613654,NA,NA,2.94e-20,4.33e-19,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.983183209,NA,NA,1.62e-17,1.8e-16,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.037781955,NA,NA,0.743587833,1,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.830097344,NA,NA,7.13e-13,1.22e-11,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.030901168,NA,NA,0.787410432,0.83881408,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.156264106,NA,NA,0.109234789,0.149094379,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.323657015,NA,NA,0.000862001,0.013919153,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.612863436,NA,NA,4.72e-10,2.24e-09,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.386619275,NA,NA,0.01568048,0.027376111,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.23495369,NA,NA,2.44e-14,1.43e-13,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.083691282,NA,NA,0.597776126,1,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.18139563,NA,NA,0.254187774,0.386590804,NA,NA,NA
3735,KARS1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.71538851418134,NA,NA,1.25864840426488e-10,1.45805852866839e-08,4470.0862207953,0.111221858894653,6.43208557464355
3735,KARS1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.52471372458776,NA,NA,2.59206511608385e-21,2.25417390936586e-20,2255.56594288555,0.160868741663675,-9.47799870142237
3735,KARS1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.462613686469935,NA,NA,0.00329281831882887,0.0113511452302419,2255.56594288555,0.15740557469525,-2.93899175658545
3735,KARS1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.336293271818107,NA,NA,5.78050042157574e-08,7.1170295148656e-07,2503.62522515138,0.0619842707788593,5.42546145324348
3735,KARS1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.764574847721161,NA,NA,0.000902511395945582,0.0071964150824307,3033.69137404585,0.230343851891694,3.31927612324838
