entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23247,KATNIP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.154982319,NA,NA,0.331282339,0.457557343,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.318788826,NA,NA,0.046680853,0.086592532,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.319097963,NA,NA,0.038117624,0.451146547,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.024005346,NA,NA,0.881054792,0.955580081,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.23453318,NA,NA,1.07e-05,3.46e-05,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.903995598,NA,NA,7.53e-06,2.02e-05,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.177099237,NA,NA,0.32066675,0.807793533,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.013564523,NA,NA,3.82e-06,1.18e-05,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.829053872,NA,NA,8.55e-25,1.36e-23,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.729401287,NA,NA,4.98e-20,4.43e-19,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.015320832,NA,NA,0.921702068,1,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.432405848,NA,NA,0.007895651,0.020982125,NA,NA,NA
23247,KATNIP,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0796355257396869,NA,NA,0.44596085482993,0.99776532938064,842.788366776748,0.10448578338746,-0.762166135505519
23247,KATNIP,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.36502732840583,NA,NA,6.96991397818408e-31,9.60818374256648e-30,890.37233153166,0.204676794890534,-11.5549363066326
23247,KATNIP,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.78000728631368,NA,NA,5.28848294311979e-05,0.000302409094157005,890.37233153166,0.192951818994232,-4.04249770942557
23247,KATNIP,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.131766032127885,NA,NA,0.175919251366027,0.459581548085106,980.0957190469,0.0973573236850067,1.35342701648419
23247,KATNIP,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.42116277398607,NA,NA,1.27512198912602e-06,3.01201565954335e-05,1876.43676778959,0.293410876365538,-4.84359268337263
