entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
8085,KMT2D,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.886954165,NA,NA,0.003728146,0.034353656,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.093150853,NA,NA,0.76199324,0.837141464,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.025882819,NA,NA,0.932620107,0.968278005,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.369080295,NA,NA,0.232988154,0.501521464,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.038675336,NA,NA,0.899793348,1,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.711355455,NA,NA,0.090996751,0.194604312,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.265089184,NA,NA,0.528502682,0.658623864,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.844409355,NA,NA,0.044659903,0.590947256,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.614866829,NA,NA,0.143783349,0.531843414,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.036490761,NA,NA,0.88617756,0.911459112,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.93318873,NA,NA,0.000452009,0.000896187,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,1.149564251,NA,NA,2.21e-06,0.000742723,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.324379559,NA,NA,0.201803299,0.300681078,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.313409716,NA,NA,0.533363055,0.6550095,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.696064367,NA,NA,0.166417711,0.256074607,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.53457261,NA,NA,0.287434785,0.961801403,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.702765391,NA,NA,0.162708612,0.335421678,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.216430217,NA,NA,0.635345319,0.711481469,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.01995303,NA,NA,0.964632203,0.972189548,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.122161073,NA,NA,0.784849291,0.973858129,NA,NA,NA
8085,KMT2D,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-2.005260541,NA,NA,1.02e-05,3.01e-05,NA,NA,NA
