entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55904,KMT2E,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.05993479,NA,NA,0.762776232,0.883137043,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.45500055,NA,NA,0.023102887,0.061492283,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.231893773,NA,NA,0.242802173,0.439761266,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.189750193,NA,NA,0.362118277,0.623964481,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.0886545,NA,NA,0.662261094,1,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.184002039,NA,NA,0.409339604,0.57073235,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.537782037,NA,NA,0.01587483,0.043260102,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.462385741,NA,NA,0.033948745,0.534969863,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.158464246,NA,NA,0.47213799,0.821331767,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.304623535,NA,NA,2.35e-16,1.78e-15,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,2.194417956,NA,NA,9.32e-40,2.34e-38,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.310302887,NA,NA,0.075468831,0.636500498,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.194447663,NA,NA,0.25884655,0.366719057,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.713605353,NA,NA,0.030181217,0.062469233,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.728802311,NA,NA,0.028002396,0.055453464,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.379183479,NA,NA,0.248943208,0.935945583,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.040893646,NA,NA,0.901866911,0.965253822,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.562865491,NA,NA,0.001729389,0.003877499,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.965169905,NA,NA,3.78e-09,1.46e-08,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.274821186,NA,NA,0.093775094,0.469636042,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.385923775,NA,NA,0.019470249,0.033915847,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.943976176,NA,NA,5.06e-05,0.000132512,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.501558401,NA,NA,1.04e-10,4.46e-10,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.137664236,NA,NA,0.553450637,1,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.247710502,NA,NA,0.288994404,0.42536295,NA,NA,NA
55904,KMT2E,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.224851251431436,NA,NA,0.0667898064153308,0.454651403023692,6916.95644057803,0.122662696101482,1.8330858409097
55904,KMT2E,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.33234552232705,NA,NA,1.76756783234978e-21,1.55019852450728e-20,2724.48918565168,0.139983510551191,-9.51787476311232
55904,KMT2E,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.159975303848717,NA,NA,0.241972900506982,0.414334905422067,2724.48918565168,0.136722878088049,-1.17006975047507
55904,KMT2E,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.145774968437747,NA,NA,0.0719950470896245,0.237689471071389,1437.9771530916,0.0810243809589,-1.79914942530314
55904,KMT2E,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.334472000657878,NA,NA,0.0681305094083583,0.219218264893268,1257.72227333115,0.183358467614128,-1.8241426480601
