entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.401696037,NA,NA,0.13855956,0.227760421,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.381490776,NA,NA,4.81e-06,1.96e-05,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.285181442,NA,NA,0.2940661,0.967789396,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.056257201,NA,NA,0.837382491,0.933735175,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.854655283,NA,NA,0.133723101,0.192869616,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.023787319,NA,NA,0.952173559,0.962208904,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.084464066,NA,NA,0.818864716,0.979073241,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.310656001,NA,NA,0.000454947,0.0010534,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.079728361,NA,NA,0.004274967,0.008294704,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.16607963,NA,NA,0.002165147,0.004119731,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.214944481,NA,NA,0.519167084,1,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.372648254,NA,NA,0.287812071,0.424107956,NA,NA,NA
147184,KRT10-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.347916718663617,NA,NA,0.0132385364962896,0.166127032795603,88.9568597730748,0.140442631432194,-2.47728709662914
147184,KRT10-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.0955396903893,NA,NA,0.00118736168742318,0.00263489181329296,131.331998845972,0.337931487292447,-3.241898821465
147184,KRT10-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.384095782756567,NA,NA,0.225198511751419,0.392413177056727,131.331998845972,0.316696352850152,-1.21282035394422
147184,KRT10-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-1.02208984719023,NA,NA,3.23523973508129e-08,4.12121924002173e-07,149.860820606987,0.184886388417437,-5.52820494758408
147184,KRT10-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.855355772955898,NA,NA,0.00443964010340804,0.0258446496898393,360.034693163286,0.300640905601664,-2.8451077581878
